district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bajali,34,"145,075",46570,"78,758","112,838","191,596","22,645","7,218","93,432","66,226","96,347"
Baksa,34,"310,806",-,"115,660","195,078","310,738","24,529","8,029","151,097","72,943","151,896"
Barpeta,90,"1,108,445","365,681","679,435","865,478","1,544,913","242,067","45,548","800,368","411,077","671,687"
Biswanath,62,"441,209","50,111","195,927","295,344","491,271","53,221","18,327","247,294","94,692","201,304"
Bongaigaon,66,"270,079","174,950","209,860","298,479","508,339","111,903","22,966","308,654","118,322","198,577"
Cachar,168,"922,239","223,582","501,861","643,904","1,145,765","184,485","40,106","731,105","345,973","492,402"
Charaideo,36,"299,267","35,536","130,994","203,785","334,779","40,091","9,541","181,969","75,405","132,630"
Chirang,39,"377,075","15,007","151,848","240,100","391,948","24,739","11,007","250,031","101,716","163,706"
Darrang,70,"707,184","265,862","421,600","551,403","973,003","172,900","23,830","480,122","216,452","388,602"
Dhemaji,47,"593,863","181,693","327,533","447,850","775,383","87,605","15,720","472,596","131,872","242,104"
Dhubri,89,"1,491,625","347,793","795,782","1,042,875","1,838,657","308,685","30,497","915,463","350,506","841,460"
Dibrugarh,188,"524,658","191,908","282,476","438,376","720,852","106,509","35,240","489,362","244,691","251,502"
Dima Hasao,32,"51,590","17,355","33,272","37,975","71,247","4,800","4,060","36,159","24,080","28,292"
Goalpara,71,"604,841","273,990","365,831","514,497","880,328","98,013","17,690","484,756","197,671","432,775"
Golaghat,124,"578,798","184,960","317,784","462,352","780,136","120,981","26,660","482,092","208,044","356,380"
Hailakandi,47,"389,447","175,520","251,311","323,929","575,240","88,060","15,976","314,299","171,385","265,955"
Hojai,62,"399,939","337,245","307,867","429,207","737,074","84,549","18,111","598,694","242,467","367,726"
Jorhat,141,"300,961","223,277","200,474","323,691","524,165","100,820","16,901","354,664","171,873","225,713"
Kamrup Metro,176,"995,283","105,399","462,246","637,599","1,099,845","162,513","37,585","692,243","397,921","469,440"
Karbi Anglong,65,"226,025","46,521","120,918","177,641","298,559","37,881","14,456","88,309","41,413","106,363"
Karimganj,95,"726,453","108,097","371,587","462,721","834,308","125,163","26,362","543,749","235,430","392,591"
Kokrajhar,58,"623,673","95,508","322,195","432,626","754,821","114,114","21,539","347,707","133,326","325,888"
Lakhimpur,91,"594,962","195,312","343,530","476,642","820,172","120,778","25,924","549,696","180,738","298,272"
Majuli,17,"124,858","30,491","66,278","89,051","155,329","22,794","2,864","99,116","41,566","71,614"
Morigaon,69,"769,222","149,460","386,793","531,460","918,253","211,594","23,137","604,547","306,090","394,108"
Nagaon,153,"1,408,111","622,896","871,194","1,159,645","2,030,839","363,365","67,369","1,113,055","406,574","997,195"
Nalbari,88,"435,920","71,351","220,477","313,246","533,723","76,254","23,632","223,941","107,398","240,532"
Sivasagar,102,"258,096","95,603","149,661","219,649","369,310","53,328","13,585","285,768","131,980","154,265"
Sonitpur,132,"548,551","258,863","361,061","542,103","903,164","209,472","34,263","413,399","198,745","343,458"
South Salmara,14,"257,901","23,409","110,175","171,079","281,254","37,740","3,627","106,574","13,377","122,874"
Tamulpur,22,"266,590",-,"105,701","160,757","266,458","18,572","8,279","167,197","64,478","120,594"
Tinsukia,153,"443,557","377,973","318,380","502,925","821,305","130,423","30,737","511,718","293,634","283,528"
Udalguri,55,"687,699","115,495","326,977","476,082","803,059","94,994","21,179","364,952","149,374","309,213"
West Karbi Anglong,22,"127,330",0,"53,148","74,173","127,321","7,749","4,286","40,153","28,105","53,903"
