district,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Bajali,34,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,196,513.68,9,5.46,1.06
Baksa,34,0,0.00,0,0.00,0,2,3.10,12,1,3.00,11,2,3.10,65,225.78,14,8.87,3.93
Barpeta,90,22,39.10,11,24.50,55,10,21.00,136,19,38.50,185,43,84.60,1060,2152.46,212,57.27,2.66
Biswanath,62,0,0.00,12,39.00,120,24,70.00,319,31,98.00,398,36,109.00,111,254.48,3,1.95,0.77
Bongaigaon,66,7,18.50,6,24.00,51,12,41.00,91,10,31.00,95,25,83.50,139,255.69,24,14.71,5.75
Cachar,168,4,7.00,43,111.59,367,83,235.80,407,112,355.80,674,130,354.39,567,879.09,67,30.72,3.49
Charaideo,36,3,4.07,0,0.00,0,0,0.00,0,1,1.00,1,3,4.07,23,26.21,5,3.57,13.62
Chirang,39,0,0.00,0,0.00,0,0,0.00,0,10,26.50,0,0,0.00,66,102.19,5,3.00,2.94
Darrang,70,0,0.00,0,0.00,0,27,95.97,37,29,98.17,47,27,95.97,439,798.46,27,20.39,2.55
Dhemaji,47,0,0.00,1,4.00,8,56,238.81,63,59,246.81,83,57,242.81,423,509.17,43,58.61,11.51
Dhubri,89,0,0.00,0,0.00,0,15,23.49,112,15,26.76,138,15,23.49,456,447.47,202,123.06,27.50
Dibrugarh,188,80,152.50,0,0.00,0,39,126.39,884,42,132.39,905,119,278.89,769,1888.79,86,78.35,4.15
Dima Hasao,32,1,0.03,10,34.00,100,10,34.00,100,12,38.00,120,21,68.03,70,127.16,18,20.17,15.86
Goalpara,71,0,0.00,12,32.00,110,13,35.11,112,21,54.00,140,25,67.11,182,215.91,107,89.41,41.41
Golaghat,124,0,0.00,0,0.00,0,15,48.70,44,21,64.70,149,15,48.70,226,522.78,21,10.37,1.98
Hailakandi,47,1,1.90,1,1.50,1,23,67.50,184,20,51.05,215,25,70.90,401,653.40,76,48.58,7.43
Hojai,62,0,0.00,0,0.00,0,0,0.00,0,3,14.00,30,0,0.00,360,584.71,59,32.33,5.53
Jorhat,141,0,0.00,6,9.22,32,21,64.72,39,57,182.69,250,27,73.94,937,2163.93,21,13.83,0.64
Kamrup,176,2,0.00,3,9.43,20,17,50.2,9,15,49.15,68,22,59.59,652,"1,042.66",28,28.44,2.73
Kamrup Metro,461,16,9.20,20,53.75,173,181,600.72,469,196,676.66,626,217,663.67,1385,2060.50,104,94.65,4.59
Karbi Anglong,65,0,0.00,3,17.00,30,3,17.00,30,11,38.00,110,6,34.00,61,116.50,1,0.00,0.00
Karimganj,95,2,2.00,12,21.00,120,19,36.40,145,16,36.50,160,33,59.40,274,429.77,89,45.93,10.69
Kokrajhar,58,0,0.00,2,4.70,10,2,2.00,11,4,8.50,40,4,6.70,58,84.78,9,8.18,9.65
Lakhimpur,91,0,0.00,0,0.00,0,25,73.61,83,51,173.61,285,25,73.61,391,512.84,153,66.37,12.94
Majuli,17,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,25,30.08,12,6.45,21.44
Morigaon,69,0,0.00,1,6.00,10,1,6.00,10,1,6.00,10,2,12.00,648,703.50,367,222.86,31.68
Nagaon,153,1,0.00,4,19.00,40,10,36.00,46,14,50.99,59,15,55.00,733,1591.41,33,25.74,1.62
Nalbari,88,0,0.00,0,0.00,0,3,6.00,21,10,43.75,71,3,6.00,257,669.87,16,12.65,1.89
Sivasagar,102,1,0.00,14,56.87,80,8,21.00,174,12,33.00,214,23,77.87,264,437.89,25,27.88,6.37
Sonitpur,132,0,0.00,0,0.00,0,37,116.25,302,43,146.25,371,37,116.25,494,1024.71,8,8.45,0.82
South Salmara,14,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,9.85,0,0.00,0.00
Tamulpur,22,0,0.00,0,0.00,0,19,68.90,19,18,68.90,18,19,68.90,25,72.21,0,0.00,0.00
Tinsukia,153,42,5.40,1,3.00,5,30,101.97,39,59,199.97,309,73,110.37,1601,"3,773.51",72,43.91,1.16
Udalguri,55,0,0.00,0,0.00,0,10,31.17,10,10,28.70,19,10,31.17,133,163.15,4,3.05,1.87
West Karbi Anglong,22,0,0.00,1,2.30,5,0,0.00,0,0,0.00,0,1,2.30,63,173.95,0,0.00,0.00
