district,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Bajali,34,1,1,0,0,0,0,2,21.89,107,"1,258.77",345,"1,221.88","3,158","12,725.52","3,613","15,229.06"
Baksa,34,3,3.86,0,0,0,0,0,0,61,821.10,166,647.60,"1,792","7,857.61","2,022","9,330.17"
Barpeta,90,12,36.67,14,141.2,0,0,6,55.76,226,"3,011.61","1,285","4,063.58","10,820","34,009.49","12,363","41,318.31"
Biswanath,62,9,122.33,0,0,0,0,3,26.78,132,"1,194.88",337,"1,418.90","3,887","13,732.52","4,368","16,495.41"
Bongaigaon,66,13,61.46,0,0,0,0,12,188.6,335,"3,968.05","1,203","4,490.87","8,721","31,840.90","10,284","40,549.88"
Cachar,168,13,56.95,34,878.36,0,0,20,145.46,342,"3,970.22","2,408","7,200.60","27,237","72,775.41","30,054","85,027.00"
Charaideo,36,0,0,0,0,0,0,1,6.49,44,509.81,128,431.45,"2,042","7,276.70","2,215","8,224.45"
Chirang,39,1,4.28,0,0,0,0,3,21.08,71,581.71,275,714.73,"2,658","11,845.64","3,008","13,167.44"
Darrang,70,19,83.65,1,3.5,0,0,14,81.05,162,"2,111.44","1,018","2,870.38","6,066","22,998.78","7,280","28,148.80"
Dhemaji,47,9,32.29,0,0,0,0,1,11.27,165,"1,496.12",516,"2,149.91","6,230","22,513.81","6,921","26,203.40"
Dhubri,89,16,119.91,0,0,0,0,2,10.08,177,"1,914.09",756,"2,152.99","9,434","29,190.32","10,385","33,387.39"
Dibrugarh,188,15,49.59,49,1075.49,0,0,25,407.19,656,"9,319.16","2,691","13,605.22","24,309","155,981.10","27,745","180,437.75"
Dima Hasao,32,0,0,1,8.62,0,0,0,0,30,185.19,485,"2,710.77","1,869","8,084.91","2,385","10,989.49"
Goalpara,71,6,9.6,4,18.54,0,0,3,39.16,78,829.16,551,"1,994.45","6,168","22,709.19","6,810","25,600.10"
Golaghat,124,33,222.91,31,5369.44,0,0,8,84.21,348,"3,757.21","1,073","4,440.51","12,659","45,389.00","14,152","59,263.28"
Hailakandi,47,333,268.05,3,20,0,0,0,0,58,517.67,620,"1,225.81","3,180","9,365.15","4,194","11,396.68"
Hojai,62,17,10.70,0,0,0,0,2,17.05,84,856.63,707,"2,229.08","6,508","20,355.47","7,318","23,468.93"
Jorhat,141,13,80.78,58,3413.15,0,0,33,307.88,981,"8,361.56","1,815","7,581.04","17,927","64,134.06","20,827","83,878.47"
Kamrup Metro,176,23,40.51,34,1055.24,0,0,36,117.86,987,"7,486.05","1,725","6,518.95","26,751","156,627.32","29,556","171,845.93"
Karbi Anglong,65,2,4.27,0,0.00,0,0,1,15.67,34,323.26,852,"4,076.25","4,721","19,636.94","5,610","24,056.39"
Karimganj,95,3,6.49,0,0,0,0,3,11.34,69,883.07,"1,117","3,221.67","7,989","22,336.00","9,181","26,458.57"
Kokrajhar,58,5,5.20,1,0.3,0,0,6,105.91,158,"2,044.67",765,"2,724.27","8,755","32,487.62","9,690","37,367.97"
Lakhimpur,91,18,128.79,12,386.84,0,0,5,42.51,345,"3,406.28","1,142","5,146.96","10,327","39,388.38","11,849","48,499.76"
Majuli,17,0,0,0,0,0,0,0,0,43,415.89,167,"1,121.94",828,"4,179.59","1,038","5,717.42"
Morigaon,69,21,136.31,0,0,0,0,2,28.89,145,"1,555.52",746,"3,519.00","3,969","14,102.13","4,883","19,341.85"
Nagaon,153,12,58.95,54,3478.22,0,0,20,167.99,608,"6,305.83","1,607","6,979.72","19,630","71,492.42","21,931","88,483.13"
Nalbari,88,4,6.43,18,59.38,0,0,4,72.74,289,"3,755.73","1,175","5,044.40","8,218","26,662.77","9,708","35,601.45"
Sivasagar,102,2,1.98,48,1573.19,0,0,23,155.15,287,"2,364.20","1,301","5,712.29","15,407","47,662.58","17,068","57,469.39"
Sonitpur,132,9,42.29,12,137.35,0,0,29,583.22,665,"8,630.78","1,449","5,709.74","15,592","56,915.91","17,756","72,019.29"
South Salmara,14,0,0,0,0,0,0,0,0,6,49.26,254,371.29,632,"2,740.33",892,"3,160.88"
Tamulpur,22,0,0,0,0,0,0,0,0,32,211.80,97,185.54,"1,274","4,428.20","1,403","4,825.54"
Tinsukia,153,30,211.05,25,2015.72,0,0,7,67.87,336,"4,596.97","1,530","6,763.21","13,785","57,577.34","15,713","71,232.16"
Udalguri,55,1,11.75,0,0,0,0,6,54.54,93,974.64,369,928.62,"4,095","16,227.98","4,564","18,197.53"
West Karbi Anglong,22,0,0,0,0,0,0,0,0,4,5.32,97,595.96,565,"3,177.72",666,"3,779.00"
