District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bajali,34,"4,084","11,427.07",87,"3,944.71",9,298.68,494,191.92,"4,674","15,862.38"
Baksa,34,"5,117","9,745.90",102,"2,857.62",5,211.90,199,238.67,"5,423","13,054.09"
Barpeta,90,"16,314","54,227.65",615,"17,523.81",35,"3,140.91","1,488",339.55,"18,452","75,231.92"
Biswanath,62,"8,216","23,504.86",161,"4,038.99",8,223.24,"1,640",576.69,"10,025","28,343.78"
Bongaigaon,66,"10,915","35,638.27",410,"17,428.09",27,"3,694.68",805,742.21,"12,157","57,503.25"
Cachar,168,"26,068","84,166.41","1,303","42,175.47",145,"17,437.76","1,238","1,663.97","28,754","145,443.61"
Charaideo,36,"5,147","13,673.58",165,"1,571.99",9,37.47,180,54.14,"5,501","15,337.18"
Chirang,39,"6,725","13,303.29",109,"2,956.88",16,"1,204.11",460,"1,195.40","7,310","18,659.68"
Darrang,70,"11,981","38,625.13",388,"13,355.81",19,982.44,"1,607",366.55,"13,995","53,329.93"
Dhemaji,47,"9,390","24,372.09",297,"5,782.29",15,204.62,"3,264","1,064.94","12,966","31,423.94"
Dhubri,89,"13,342","34,710.42",453,"12,151.89",17,"2,455.10",268,84.43,"14,080","49,401.84"
Dibrugarh,188,"28,624","115,658.84","1,362","55,147.22",205,"17,288.43","1,435","6,330.46","31,626","194,424.95"
Dima Hasao,32,"4,398","7,680.18",48,755.73,6,69.40,9,6.70,"4,461","8,512.01"
Goalpara,71,"12,096","28,856.90",266,"7,649.62",8,1190.45,"1,535",351.70,"13,905","38,048.67"
Golaghat,124,"16,835","43,598.40",674,"17,849.90",16,471.67,"1,276",433.56,"18,801","62,353.53"
Hailakandi,47,"7,370","15,936.67",176,"3,493.49",7,598.67,286,128.56,"7,839","20,157.39"
Hojai,62,"11,119","35,210.28",500,"9,825.28",10,977.88,"1,207","1,034.86","12,836","47,048.30"
Jorhat,141,"18,978","78,789.78","1,078","49,667.73",106,15549.98,"1,335","4,166.36","21,497","148,173.85"
Kamrup Metro,176,"22,404","70,696.55",849,"28,608.02",88,"3,087.25","3,843","1,423.44","27,184","103,815.26"
Karbi Anglong,65,"9,399","18,584.50",224,"3,366.90",6,65.44,558,103.31,"10,187","22,120.15"
Karimganj,95,"9,897","31,995.10",558,"16,186.65",72,"3,873.66","1,061",565.40,"11,588","52,620.81"
Kokrajhar,58,"9,795","23,718.78",205,"7,422.78",6,333.29,856,331.56,"10,862","31,806.41"
Lakhimpur,91,"16,832","39,889.19",900,"17,411.05",64,5318.13,"6,617","3,968.76","24,413","66,587.13"
Majuli,17,"1,778","4,125.92",153,497.45,4,23.33,511,184.59,"2,446","4,831.29"
Morigaon,69,"10,746","23,966.43",636,"4,242.62",18,214.8,"1,158",355.70,"12,558","28,779.55"
Nagaon,153,"25,875","85,498.41","1,201","38,536.01",148,"10,392.84","1,411","2,012.13","28,635","136,439.39"
Nalbari,88,"13,134","37,751.13",390,"12,156.10",24,"1,752.82",940,335.67,"14,488","51,995.72"
Sivasagar,102,"16,734","55,557.14",812,"27,835.03",42,"6,025.74","1,223",999.96,"18,811","90,417.87"
Sonitpur,132,"19,877","78,353.23",797,"34,018.17",92,"4,888.06","1,413","1,271.80","22,179","118,531.26"
South Salmara,14,"1,838","4,590.93",33,581.63,0,0,0,0,"1,871","5,172.56"
Tamulpur,22,"3,585","5,688.02",37,316.32,2,29.91,592,146.96,"4,216","6,181.21"
Tinsukia,153,"24,568","112,130.86","1,381","53,306.06",87,"8,224.69","1,100","1,545.98","27,136","175,207.59"
Udalguri,55,"10,145","21,772.65",156,"3,135.50",1,0.91,"1,040",225.02,"11,342","25,134.08"
West Karbi Anglong,22,"1,856","1,667.80",3,7.67,2,32.49,10,28.04,"1,871","1,736.00"
