District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt
Bajali,34,890,733.83,4,12.28,0,0,19,31.34,373,59.31,1286,836.76
Baksa,34,1465,1298.00,8,33.15,0,0,294,371.57,56,14.11,1823,1716.83
Barpeta,90,5080,5797.79,49,395.23,3,8.69,119,196.85,1173,235.76,6424,6634.32
Biswanath,62,2388,1814.49,18,154.15,0,0,31,34.98,1014,233.67,3451,2237.29
Bongaigaon,66,2229,2478.70,38,1474.65,0,0,106,134.87,491,98.50,2864,4186.72
Cachar,168,6493,9841.33,325,3297.57,5,1.87,140,178.24,647,331.11,7610,13650.12
Charaideo,36,1206,1370.51,38,161.03,0,0,42,82.10,83,14.82,1369,1628.46
Chirang,39,2309,1853.23,8,5.98,0,0,551,586.39,273,50.23,3141,2495.83
Darrang,70,3744,4341.78,65,645.75,2,1.33,118,167.27,1130,237.44,5059,5393.57
Dhemaji,47,2270,1900.56,55,317.21,1,5.86,65,93.60,1591,321.75,3982,2638.98
Dhubri,89,4705,3122.78,39,86.52,1,0.52,201,255.44,210,62.49,5156,3527.75
Dibrugarh,188,7885,11424.78,253,2546.01,8,60.74,174,305.56,904,337.18,9224,14674.27
Dima Hasao,32,701,478.19,8,6.47,0,0,13,30.28,4,2.29,726,517.23
Goalpara,71,3438,3415.36,51,99.71,0,0,185,251.13,1153,229.01,4827,3995.21
Golaghat,124,3824,3430.41,105,958.36,0,0,78,128.95,739,192.71,4746,4710.43
Hailakandi,47,2220,2434.63,60,181.58,1,0.28,129,208.94,172,66.21,2582,2891.64
Hojai,62,2819,3561.01,174,786.15,2,2.18,10,34.78,985,176.94,3990,4561.06
Jorhat,141,4418,7494.44,118,2450.46,9,660.81,73,107.97,675,227.51,5293,10941.19
Kamrup Metro,176,5787,6098.98,155,448.97,0,0,313,604.99,2409,524.95,8664,7677.89
Karbi Anglong,65,1620,1368.60,45,47.75,0,0,104,37.42,35,7.33,1804,1461.10
Karimganj,95,2714,4322.40,150,765.38,0,0,102,189.28,390,198.33,3356,5475.39
Kokrajhar,58,3048,3479.39,7,90.91,2,243.46,596,679.83,315,89.30,3968,4582.89
Lakhimpur,91,5582,4742.33,407,454.01,19,9.11,66,99.19,3600,962.21,9674,6266.85
Majuli,17,391,378.90,30,38.96,0,0,10,10.88,144,31.25,575,459.99
Morigaon,69,3722,4747.57,409,944.71,3,45.32,132,208.88,539,147.13,4805,6093.61
Nagaon,153,7970,7821.65,245,1658.10,3,6.16,235,346.78,1021,295.94,9474,10128.63
Nalbari,88,4061,4061.88,80,414.40,1,0.28,264,413.03,606,111.99,5012,5001.58
Sivasagar,102,3494,4749.54,57,686.27,0,0,79,169.99,631,183.01,4261,5788.81
Sonitpur,132,5661,7660.98,108,450.25,5,187.04,214,386.91,872,230.62,6860,8915.80
South Salmara,14,809,979.16,0,0,0,0,121,214.29,0,0.00,930,1193.45
Tamulpur,22,865,705.37,3,13.76,0,0,86,97.48,330,61.96,1284,878.57
Tinsukia,153,6138,9481.65,247,1048.06,4,381.95,213,307.82,706,177.92,7308,11397.40
Udalguri,55,4399,5291.12,17,180.52,0,0,416,705.52,676,133.42,5508,6310.58
West Karbi Anglong,22,302,110.79,2,4.14,0,0,0,0,1,0.14,305,115.07
