District,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bajali,34,"1,404","8,431.60",892,"7,094.91",108,"1,592.75",5,38.61,0,0,5,38.61
Baksa,34,571,"5,911.96",441,"3,929.83",847,"10,267.09",5,47.51,0,0,5,47.51
Barpeta,90,"2,449","22,618.79","1,935","18,789.08",628,"6,786.97",10,100.78,0,0,10,98.52
Biswanath,62,"1,432","10,925.75","1,263","9,250.63",681,"7,094.43",12,148.57,0,0,12,70.96
Bongaigaon,66,"1,880","16,388.58","2,541","27,806.59",327,"4,026.57",51,512.72,0,0,51,629.77
Cachar,168,"6,189","31,005.93","3,145","31,948.88",511,"6,215.30",65,721.12,1,2.51,69,541.58
Charaideo,36,396,"3,163.00",365,"3,039.45",136,"1,547.70",1,9.62,0,0,1,9.62
Chirang,39,602,"5,558.70",739,"5,657.41",615,"8,088.41",0,0,0,0,0,0
Darrang,70,"1,548","14,637.86","1,753","13,146.66",362,"4,671.21",15,146.19,0,0,15,118.10
Dhemaji,47,"1,619","13,945.82","1,892","9,994.31",700,"8,402.10",22,181.14,0,0,22,163.34
Dhubri,89,"1,906","16,389.95","1,931","12,731.96",498,"5,530.96",43,332.38,0,0,43,296.77
Dibrugarh,188,"7,154","42,226.39","5,511","63,834.98","1,901","21,603.93",77,7871.39,1,13.5,77,762.17
Dima Hasao,32,391,"3,812.89",182,"1,773.71",79,630.88,1,6.35,0,0,1,6.35
Goalpara,71,"1,210","10,906.09","1,050","6,021.88",282,"3,007.83",8,50.79,0,0,8,49.36
Golaghat,124,"2,354","20,217.31","2,958","25,608.30",588,"8,083.11",19,152.71,0,0,19,149.64
Hailakandi,47,932,"6,861.60",681,"3,899.66",26,125.95,17,149.43,0,0,17,149.43
Hojai,62,942,"7,413.61",836,"7,493.80",83,744.59,25,245.35,0,0,25,245.35
Jorhat,141,"7,240","42,688.21","7,607","71,516.85","1,003","11,716.21",58,775.92,4,88.97,67,833.15
Kamrup Metro,176,"6,685","41,904.89","4,722","49,553.15","2,618","34,079.40",41,486.58,0,0,41,375.06
Karbi Anglong,65,"2,012","20,109.72",717,"4,126.45","1,063","10,581.74",1,9.62,0,0,1,9.62
Karimganj,95,"1,241","7,005.17",695,"7,579.36",212,"1,853.74",19,220.96,0,0,19,220.96
Kokrajhar,58,"1,102","11,113.38","1,431","16,714.63",503,"7,534.50",3,26.03,0,0,4,26.19
Lakhimpur,91,"3,345","28,668.24","2,861","27,280.51",808,"9,889.68",48,489.87,0,0,48,391.69
Majuli,17,317,"2,433.82",202,"1,772.62",160,"2,050.35",9,92.21,0,0,9,92.21
Morigaon,69,"1,783","15,368.66",873,"7,361.95",620,"4,949.89",40,433.42,0,0,45,463.60
Nagaon,153,"6,540","33,547.60","4,200","39,122.85",988,"11,388.88",69,684.09,0,0,69,683.58
Nalbari,88,"2,522","23,620.14","3,001","25,570.47",790,"10,039.69",12,132.31,0,0,12,132.31
Sivasagar,102,"5,502","23,312.02","3,116","27,670.40",636,"7,163.26",44,593.37,0,0,44,593.37
Sonitpur,132,"6,563","34,722.17","4,641","53,011.67",993,"12,615.41",60,511.12,2,35,66,488.83
South Salmara,14,277,"2,587.97",270,418.10,137,"1,286.37",0,0,0,0,0,0
Tamulpur,22,377,"3,579.39",275,"1,116.99",128,"1,125.24",0,0,0,0,0,0
Tinsukia,153,"5,601","25,166.49","3,179","36,871.43",573,"5,932.04",49,411.49,0,0,50,404.44
Udalguri,55,"1,768","16,651.76","2,000","5,961.40",500,"6,044.90",3,15.85,0,0,3,15.85
West Karbi Anglong,22,542,"5,439.75",80,123.92,541,"5,531.90",0,0,0,0,0,0
