District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,34,247,330.37,-,-,581,535.84,"4,657","2,394.07",110,150.87,72,149.60,0,0,0,0,"1,284","1,402.48","6,951","4,963.23"
Baksa,34,178,172.21,4,3.25,170,246.06,215,235.53,47,57.60,31,45.53,0,0,0,0,"1,220","3,030.62","1,865","3,790.80"
Barpeta,90,"1,208",797.23,1,1.29,"1,560","1,439.18","5,309","4,525.87",317,327.75,472,283.09,1,6.71,0,0,"3,166","9,377.20","12,034","16,758.32"
Biswanath,62,667,477.16,1,15.52,38,47.78,227,180.36,92,84.99,11,19.21,0,0,0,0,"1,582","5,491.69","2,618","6,316.71"
Bongaigaon,66,206,124.76,1,1.23,"1,355",808.41,"1,730","1,715.42",350,603.47,50,27.76,2,100.59,1,11.15,"2,594","3,540.92","6,289","6,933.71"
Cachar,168,"1,353",677.48,4,2.20,"1,380","1,944.90","2,438","1,552.37",547,"1,477.71",319,755.02,8,59.43,1,1.31,"4,940","7,484.01","10,990","13,954.43"
Charaideo,36,209,196.29,-,-,53,73.25,15,15.36,130,209.39,3,7.59,1,0.65,0,0,242,981.70,653,"1,484.23"
Chirang,39,"1,050",600.11,1,0.43,169,134.06,5,12.58,99,132.75,404,102.24,0,0,0,0,"1,567","3,047.74","3,295","4,029.91"
Darrang,70,940,670.65,12,8.82,937,"1,785.62","3,867","2,366.13",87,146.32,271,704.13,1,18.2,1,11.04,"2,330","6,499.94","8,446","12,210.85"
Dhemaji,47,680,512.19,1,0.28,74,154.46,"1,241","1,975.71",293,336.37,20,27.69,0,0,0,0,"1,169","3,940.76","3,478","6,947.46"
Dhubri,89,442,310.80,7,3.75,601,310.38,"1,340",532.09,177,131.02,137,69.46,0,0,6,6.17,"2,461","4,155.83","5,171","5,519.50"
Dibrugarh,188,"4,658","2,906.17",1,4.04,806,"1,036.58","2,339","2,069.72",374,572.75,94,112.14,1,2.39,10,23.24,"6,774","23,639.80","15,057","30,366.83"
Dima Hasao,32,83,66.03,0,0,26,24.99,7,15.28,133,79.10,8,4.45,0,0,0,0,183,474.17,440,664.02
Goalpara,71,563,245.45,22,13.37,355,246.75,666,801.14,490,390.08,"1,226",277.62,6,0.95,0,0,"2,499","5,341.72","5,827","7,317.08"
Golaghat,124,"1,823",807.35,1,0.29,355,332.86,"3,675","2,896.63",128,359.36,34,49.83,3,433.12,0,0,"4,201","11,149.54","10,220","16,028.98"
Hailakandi,47,668,430.57,0,0,482,626.82,21,24.36,223,512.32,32,41.56,0,0,0,0,"1,746","2,539.76","3,172","4,175.39"
Hojai,62,681,272.35,0,0,925,"1,109.64",940,897.38,114,139.85,166,180.06,0,0,1,2.96,"1,281","2,584.59","4,108","5,186.83"
Jorhat,141,"2,264","1,024.14",8,12.25,"1,239","1,610.22",865,906.08,176,355.41,78,186.74,0,0,2,4.32,"2,961","11,130.55","7,593","15,229.71"
Kamrup Metro,176,"2,867","1,530.20",3,1.04,"8,104","2,809.13","1,933","1,393.61",778,"1,134.81",325,396.43,1,0.94,4,4.69,"9,526","15,348.16","23,541","22,619.01"
Karbi Anglong,65,"2,050",621.06,0,0,320,277.35,604,377.08,45,82.37,42,61.40,0,0,0,0,594,"2,978.80","3,655","4,398.06"
Karimganj,95,266,204.76,3,1.5,671,939.70,536,182.45,180,369.95,319,591.62,0,0,0,0,"1,051","2,770.54","3,026","5,060.52"
Kokrajhar,58,214,226.76,0,0,569,556.46,384,198.57,368,436.40,85,149.43,0,0,1,6.26,"1,155","3,392.91","2,776","4,966.79"
Lakhimpur,91,679,978.18,3,1.23,544,806.81,"4,383","2,786.87",292,632.69,122,194.60,1,2.39,1,0.79,"2,250","6,378.26","8,275","11,781.82"
Majuli,17,45,19.88,0,0,7,9.40,22,31.30,8,28.22,6,4.06,0,0,0,0,66,126.51,154,219.37
Morigaon,69,704,799.64,0,0,"1,032","1,543.71","2,070","2,078.48",225,269.29,298,682.98,1,12.53,0,0,"2,549","5,087.02","6,879","10,473.65"
Nagaon,153,"6,059","2,524.68",0,0,"2,063","2,531.92","5,783","5,328.93",275,434.84,130,518.14,0,0,1,4.96,"5,410","7,188.02","19,721","18,531.49"
Nalbari,88,"1,678",812.02,13,7.88,754,930.53,"4,147","2,938.15",675,647.81,225,201.03,1,1.49,3,9.18,"3,273","6,797.35","10,769","12,345.44"
Sivasagar,102,699,471.40,1,1.42,999,"1,053.43","1,083","1,089.84","1,272","1,742.52",70,67.54,1,1.51,1,5.23,"2,513","9,646.25","6,639","14,079.14"
Sonitpur,132,"1,143","1,007.89",2,1.3,384,936.46,"4,576","3,844.22",575,736.35,86,146.19,0,0,4,15.96,"2,597","8,697.75","9,367","15,386.12"
South Salmara,14,0,0,0,0,-,-,1,0.90,1,5.76,-,-,0,0,0,0,16,23.20,18,29.86
Tamulpur,22,231,145.47,0,0,27,47.84,8,10.65,20,37.62,5,17.39,0,0,0,0,356,690.90,647,949.87
Tinsukia,153,"4,419","2,423.80",44,18.94,"1,552","2,763.83","1,214","1,363.03",437,987.89,77,90.67,0,0,6,57.76,"3,682","19,304.07","11,431","27,009.99"
Udalguri,55,"1,382",615.92,1,0.49,105,162.22,"1,879",779.94,306,413.63,94,133.03,1,0.2,2,2.28,"1,149","2,229.21","4,919","4,336.92"
West Karbi Anglong,22,5,6.55,0,0,49,62.28,0,0,2,9.11,5,-,0,0,0,0,34,94.83,95,172.77
