District,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Amt. %
Bajali,34,3,72.25,2,7.88,0,0.00,5,80.13,10,161.60,2,14.45,8.94
Baksa,34,0,0.00,0,0.00,0,0.00,0,0.00,6,72.41,3,20.97,28.96
Barpeta,90,14,225.35,6,85.58,1,9.99,21,320.92,54,770.43,12,161.39,20.95
Biswanath,62,5,40.02,1,27.00,0,0.00,6,67.02,16,166.31,2,7.55,4.54
Bongaigaon,66,5,33.71,1,18.00,1,10.00,7,61.71,53,450.46,8,44.39,9.85
Cachar,168,16,254.08,1,11.64,0,0.00,17,265.72,75,"1,164.52",6,76.64,6.58
Charaideo,36,2,18.00,0,0.00,0,0.00,2,18.00,13,199.53,3,56.46,28.30
Chirang,39,3,70.50,1,16.00,1,0.00,5,86.50,26,383.19,2,13.59,3.55
Darrang,70,5,91.25,0,0.00,1,12.18,6,103.43,35,489.99,13,125.78,25.67
Dhemaji,47,1,0.00,0,0.00,5,21.87,6,21.87,14,241.85,0,0.06,0.02
Dhubri,89,9,72.75,2,23.05,0,0.00,11,95.80,31,566.39,1,2.86,0.50
Dibrugarh,188,34,322.22,4,68.56,6,38.05,44,428.83,161,"2,335.44",18,201.37,8.62
Dima Hasao,32,2,23.00,0,0.00,0,0.00,2,23.00,7,53.28,1,7.07,13.27
Goalpara,71,3,36.97,0,0.00,0,0.00,3,36.97,34,269.56,11,56.34,20.90
Golaghat,124,7,60.97,1,0.00,1,21.80,9,82.77,57,946.59,7,135.52,14.32
Hailakandi,47,4,52.24,1,15.00,0,0.00,5,67.24,12,136.24,1,11.52,8.46
Hojai,62,3,61.02,3,80.00,0,0.00,6,141.02,65,720.67,24,87.23,12.10
Jorhat,141,20,462.78,1,16.00,1,50.00,22,528.78,103,"2,184.08",9,92.52,4.24
Kamrup Metro,176,8,90.95,0,0.00,1,10.50,9,101.45,106,981.18,7,92.44,9.42
Karbi Anglong,65,3,33.98,2,12.87,3,4.63,8,51.48,43,611.60,7,86.10,14.08
Karimganj,95,2,0.00,0,0.00,0,0.00,2,0.00,29,528.73,9,93.26,17.64
Kokrajhar,58,11,186.70,0,0.00,2,10.73,13,197.43,25,497.98,2,13.08,2.63
Lakhimpur,91,4,57.80,0,0.00,7,43.92,11,101.72,48,692.69,11,86.95,12.55
Majuli,17,1,1.21,0,0.00,3,26.06,4,27.27,12,111.73,0,0.00,0.00
Morigaon,69,4,22.75,3,24.24,2,33.00,9,79.99,46,564.57,15,109.68,19.43
Nagaon,153,17,193.89,3,55.79,0,0.00,20,249.68,98,"1,124.88",17,145.05,12.89
Nalbari,88,18,249.54,2,11.00,2,1.52,22,262.06,48,675.07,7,87.73,13.00
Sivasagar,102,9,140.04,1,1.10,0,0.00,10,141.14,51,712.18,6,77.96,10.95
Sonitpur,132,19,392.80,3,26.25,2,0.02,24,419.07,114,"1,749.52",19,222.29,12.71
South Salmara,14,1,0.00,0,0.00,0,0.00,1,0.00,2,64.61,0,0.00,0.00
Tamulpur,22,0,0.00,0,0.00,0,0.00,0,0.00,3,100.71,0,0.00,0.00
Tinsukia,153,19,257.16,5,80.30,2,0.86,26,338.32,114,"1,917.56",10,93.53,4.88
Udalguri,55,0,0.00,1,19.10,1,0.00,2,19.10,15,301.18,4,106.31,35.30
West Karbi Anglong,22,0,0.00,0,0.00,0,0.00,0,0.00,5,56.41,1,11.44,20.28
