district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bajali,34,"477,733","215,685","90,382"
Baksa,34,"692,659","351,788","176,442"
Barpeta,91,"2,265,729","1,042,290","599,464"
Biswanath,62,"993,888","404,955","219,085"
Bongaigaon,66,"1,054,933","466,138","241,445"
Cachar,171,"2,429,328","1,046,699","515,635"
Charaideo,36,"656,767","282,023","133,878"
Chirang,39,"661,471","307,327","200,997"
Darrang,70,"1,426,663","663,481","314,963"
Dhemaji,48,"1,190,218","469,166","275,156"
Dhubri,90,"2,254,895","1,100,527","573,049"
Dibrugarh,190,"1,960,857","742,413","425,636"
Dima Hasao,33,"270,007","119,494","60,566"
Goalpara,71,"1,461,446","725,448","412,383"
Golaghat,125,"1,684,158","697,820","293,779"
Hailakandi,47,"920,900","491,240","238,468"
Hojai,63,"1,134,036","584,767","258,360"
Jorhat,142,"1,463,802","639,361","290,425"
Kamrup Metro,178,"2,683,699","1,034,136","618,491"
Karbi Anglong,66,"881,689","349,253","216,058"
Karimganj,96,"1,583,253","737,178","296,271"
Kokrajhar,59,"1,510,664","595,846","395,367"
Lakhimpur,92,"1,566,104","637,854","288,833"
Majuli,17,"289,605","167,536","85,138"
Morigaon,69,"1,415,082","726,994","330,412"
Nagaon,155,"3,140,704","1,583,358","782,308"
Nalbari,89,"1,366,694","618,665","375,838"
Sivasagar,103,"1,086,198","473,874","208,812"
Sonitpur,133,"1,756,923","835,217","586,697"
South Salmara,15,"415,707","241,667","184,699"
Tamulpur,22,"924,803","223,313","130,561"
Tinsukia,154,"1,626,612","711,987","372,416"
Udalguri,55,"1,365,145","593,152","352,507"
West Karbi Anglong,22,"292,995","122,547","56,118"
