district,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
Bajali,34,"24,250","29,820.22","3,727","6,547.21",21.96,"20,463","21,039.79","1,363","2,422.52",11.51,"2,424","14,642.74",657,"8,848.55",60.43,"1,233","4,394.21",852,939.66,21.38,"27,907","48,857.17","5,236","16,335.42",33.44
Baksa,34,"92,318","42,544.00","3,100","5,326.78",12.52,"32,403","24,980.00","1,316","1,364.65",5.46,"5,199","22,326.00",813,"6,356.33",28.47,"11,301","4,942.00",326,732.98,14.83,"108,818","69,812.00","4,239","12,416.09",17.79
Barpeta,90,"64,445","75,759.05","14,765","26,521.85",35.01,"50,231","47,148.38","5,782","7,602.16",16.12,"8,217","62,783.96","3,473","46,401.45",73.91,"3,125","13,422.41","6,375","5,280.44",39.34,"75,787","151,965.42","24,613","78,203.74",51.46
Biswanath,62,"12,956","21,512.00","7,075","13,063.08",60.72,"2,185","2,125.00","2,457","2,935.58",138.14,"6,359","30,270.00","1,386","13,241.27",43.74,"3,090","14,564.00","2,668","2,456.09",16.86,"22,405","66,346.00","11,129","28,760.44",43.35
Bongaigaon,66,"54,170","62,422.45","9,378","17,512.05",28.05,"30,531","30,757.48","3,847","9,000.36",29.26,"8,008","45,000.00","2,271","33,182.49",73.74,"3,047","15,000.00","4,069","3,352.94",22.35,"65,225","122,422.45","15,718","54,047.48",44.15
Cachar,168,"50,859","44,173.78","16,330","23,259.60",52.65,"27,423","26,401.00","5,204","6,575.38",24.91,"22,156","121,415.82","7,455","83,533.41",68.80,"11,362","31,616.39","21,246","12,521.93",39.61,"84,377","197,205.99","45,031","119,314.94",60.50
Charaideo,36,"19,283","26,327.00","4,359","5,846.77",22.21,"12,692","12,989.00","1,952","1,680.33",12.94,"2,334","13,678.00","1,084","7,023.32",51.35,"1,180","4,841.00","1,212",712.00,14.71,"22,797","44,846.00","6,655","13,582.09",30.29
Chirang,39,"35,946","38,970.51","5,208","6,977.66",17.90,"21,694","25,798.30","2,302","3,007.94",11.66,"2,360","22,000.00","1,322","8,812.62",40.06,"2,534","4,500.00","1,890","1,545.51",34.34,"40,840","65,470.51","8,420","17,335.79",26.48
Darrang,70,"27,495","22,412.30","11,458","20,570.23",91.78,"17,481","12,216.59","3,287","4,692.46",38.41,"28,212","51,404.47","2,534","24,176.28",47.03,"2,443","5,630.10","3,526","3,956.87",70.28,"58,150","79,446.87","17,518","48,703.38",61.30
Dhemaji,47,"37,625","49,098.04","6,803","11,755.94",23.94,"29,349","34,574.35","2,766","3,415.59",9.88,"3,098","22,649.00","2,072","13,183.15",58.21,"1,483","4,925.28","2,270","2,457.86",49.90,"42,206","76,672.32","11,145","27,396.95",35.73
Dhubri,89,"75,569","94,973.08","9,946","15,560.68",16.38,"21,823","20,874.40","3,088","5,797.97",27.78,"5,740","31,964.15","2,819","32,755.73",102.48,"5,541","15,944.49","6,930","5,306.29",33.28,"86,850","142,881.72","19,695","53,622.70",37.53
Dibrugarh,188,"40,954","84,554.11","24,176","42,516.69",50.28,"24,401","37,602.00","12,388","9,941.42",26.44,"11,607","157,924.63","7,044","98,384.79",62.30,"3,648","73,073.88","7,142","6,905.59",9.45,"56,209","315,552.62","38,362","147,807.07",46.84
Dima Hasao,32,"21,489","23,330.83",561,"1,156.27",4.96,"13,122","13,690.36",165,145.90,1.07,"4,674","7,662.89","1,069","2,560.33",33.41,"1,221","2,372.12",44,226.74,9.56,"27,384","33,365.84","1,674","3,943.34",11.82
Goalpara,71,"35,194","30,715.48","9,865","15,929.33",51.86,"24,911","21,331.96","5,385","7,020.87",32.91,"9,987","26,527.63","1,983","19,644.53",74.05,"5,809","11,740.08","4,258","3,535.90",30.12,"50,990","68,983.19","16,106","39,109.76",56.69
Golaghat,124,"46,670","54,158.00","16,230","27,269.49",50.35,"25,000","26,860.00","5,750","5,583.49",20.79,"1,555","40,036.00","2,867","29,702.31",74.19,"5,903","17,354.00","6,836","4,360.03",25.12,"54,128","111,548.00","25,933","61,331.83",54.98
Hailakandi,47,"16,596","18,212.00","5,419","6,804.52",37.36,"11,633","11,199.00","2,578","1,758.76",15.70,"7,433","20,924.00","1,489","7,891.22",37.71,"10,919","18,985.70","3,464","2,050.04",10.80,"34,948","58,121.70","10,372","16,745.78",28.81
Hojai,62,"21,457","26,244.60","6,348","8,909.53",33.95,"16,270","19,269.33","3,005","3,275.35",17.00,"4,633","27,836.72","2,623","23,638.31",84.92,"2,798","6,468.00","2,949","2,062.18",31.88,"28,888","60,549.32","11,920","34,610.02",57.16
Jorhat,141,"119,055","124,258.00","14,984","40,718.71",32.77,"89,003","89,064.00","5,419","4,561.07",5.12,"19,648","132,325.00","3,981","70,534.98",53.30,"6,152","12,017.00","6,067","6,433.80",53.54,"144,855","268,600.00","25,032","117,687.49",43.82
Kamrup Metro,176,"109,272","74,574.35","24,714","34,360.09",46.07,"73,592","37,292.92","6,797","10,047.03",26.94,"49,902","81,968.99","4,628","60,957.52",74.37,"5,764","19,563.36","9,691","8,713.68",44.54,"164,938","176,106.70","39,033","104,031.29",59.07
Karbi Anglong,65,"75,148","81,002.79","6,719","7,245.74",8.95,"58,504","55,476.20","4,065","2,114.44",3.81,"3,049","13,857.18","2,156","10,273.51",74.14,"4,526","15,943.09","1,446","1,028.96",6.45,"82,723","110,803.06","10,321","18,548.21",16.74
Karimganj,95,"19,230","17,996.00","9,312","10,453.22",58.09,"13,174","12,296.00","2,943","2,646.81",21.53,"9,413","42,856.00","2,254","30,302.17",70.71,"3,943","8,438.12","7,830","4,296.03",50.91,"32,586","69,290.12","19,396","45,051.42",65.02
Kokrajhar,58,"18,312","30,200.00","10,184","15,333.76",50.77,"9,839","13,454.00","3,748","6,461.26",48.02,"5,709","27,500.00","1,964","16,922.10",61.53,"4,267","9,700.00","4,473","3,793.85",39.11,"28,288","67,400.00","16,621","36,049.71",53.49
Lakhimpur,91,"38,031","46,895.16","15,940","23,202.99",49.48,"29,474","33,220.36","8,895","6,938.67",20.89,"13,183","99,247.00","3,310","34,897.97",35.16,"4,056","10,393.28","3,473","3,734.50",35.93,"55,270","156,535.44","22,723","61,835.46",39.50
Majuli,17,"34,969","29,092.00","1,611","2,262.15",7.78,"29,349","25,060.00",729,"1,123.61",4.48,745,"2,428.00",271,"1,544.64",63.62,594,"2,045.00",164,636.28,31.11,"36,308","33,565.00","2,046","4,443.07",13.24
Morigaon,69,"90,894","71,357.54","11,199","13,929.29",19.52,"67,211","33,870.00","6,020","5,848.73",17.27,"2,507","27,037.38","1,896","10,784.70",39.89,"5,749","18,400.68","2,708","2,123.88",11.54,"99,150","116,795.60","15,803","26,837.87",22.98
