district,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount.,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount.,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,34,"1,263","1,987.95","14,662","11,425.63","8,561","2,567",38,38.28,171,212.33,35,33,2,0.02,47,109.52,22,22
Baksa,34,805,639.88,"11,076","7,323.58","6,005","4,822",6,1.77,77,110.89,21,19,4,3.34,30,42.15,15,13
Barpeta,90,"2,962","5,958.57","45,412","37,954.06","27,935","12,238",107,56.33,612,469.77,17,16,26,9.73,218,196.56,22,21
Biswanath,62,"1,423","2,125.31","23,097","17,864.75","10,283","7,141",10,9.77,189,192.55,26,21,3,23.31,37,74.13,5,5
Bongaigaon,66,"1,950","5,074.04","14,529","16,403.21","9,915","6,690",4,1.77,117,67.99,25,15,4,5.75,30,51.41,4,4
Cachar,168,"2,622","2,833.30","47,982","25,521.74","28,194","9,854",7,7.68,153,144.08,12,3,39,26.41,380,446.64,78,69
Charaideo,36,857,941.92,"10,140","6,532.60","5,183","4,322",22,19.35,156,147.96,7,6,-,0,15,8.12,2,2
Chirang,39,"1,487","1,732.62","14,569","11,325.71","8,681","5,602",-,0.15,42,59.62,4,2,3,4.21,12,8.83,1,1
Darrang,70,"2,528","4,242.77","33,003","26,467.75","22,388","9,031",2,2.05,284,317.83,26,24,106,38.62,357,621.61,31,29
Dhemaji,47,"1,558","2,351.18","27,822","21,406.54","16,135","6,219",17,16.66,389,379.69,227,25,4,4.92,77,84.36,18,18
Dhubri,89,"1,527","2,722.82","28,825","19,173.63","16,050","6,734",7,3.97,195,213.72,20,20,15,8.26,43,39.70,1,1
Dibrugarh,188,"4,066","8,162.05","62,426","46,657.13","38,681","17,751",16,18.11,211,244.06,61,31,1,0.22,50,57.77,10,8
Dima Hasao,32,85,96.55,"1,466",576.63,346,131,1,0.55,108,82.21,46,41,0,0,24,11.24,6,6
Goalpara,71,"3,442","4,089.63","23,955","17,265.96","14,830","10,694",3,2.84,184,154.28,14,10,2,4.91,25,21.73,6,5
Golaghat,124,"2,546","4,298.25","55,465","35,400.66","28,714","10,721",14,10.33,245,164.65,19,13,2,6.32,39,21.18,3,3
Hailakandi,47,"2,136","1,054.14","16,294","7,577.71","9,599","4,981",23,25.95,102,95.98,28,22,13,15.31,44,36.18,8,6
Hojai,62,"1,577","2,119.74","20,039","12,712.74","12,837","3,931",22,13.15,101,54.14,11,11,9,9.27,51,35.13,1,1
Jorhat,141,"2,260","4,803.14","42,300","24,942.24","23,699","7,620",13,27.85,200,180.68,83,32,8,18.32,77,80.64,7,5
Kamrup Metro,176,"4,568","5,777.52","61,372","44,335.54","38,450","21,842",62,68.11,281,334.65,80,51,16,35.45,100,265.50,18,17
Karbi Anglong,65,"2,942","1,911.76","29,670","17,891.85","7,177","2,907",9,12.79,191,160.60,9,9,9,9.38,84,84.93,5,5
Karimganj,95,"1,678","1,040.09","21,114","11,084.16","12,165","2,842",8,8.04,68,97.22,15,11,8,60.40,136,223.88,28,27
Kokrajhar,58,"2,165","3,371.42","24,008","21,959.10","11,260","9,059",13,26.50,171,214.55,-,-,1,1.81,37,35.03,8,8
Lakhimpur,91,"3,480","5,559.41","59,384","42,620.85","33,010","16,540",10,9.06,209,157.31,17,10,14,33.31,102,149.69,4,2
Majuli,17,404,455.46,"5,637","2,794.19","2,160","1,188",1,0.30,19,11.91,-,-,1,0.76,93,26.71,-,-
Morigaon,69,"4,117","4,123.37","36,858","24,503.81","22,094","10,922",19,16.36,442,461.25,162,158,49,30.46,329,571.17,86,86
Nagaon,153,"5,366","9,387.28","77,036","53,806.40","42,427","17,996",37,29.25,503,414.11,196,178,64,87.21,386,441.52,151,135
Nalbari,88,"2,900","4,158.01","34,111","22,443.85","20,096","9,225",32,23.20,629,470.38,133,121,7,5.80,108,79.53,20,20
Sivasagar,102,"1,969","2,895.55","26,296","15,121.08","13,296","5,558",33,28.75,406,340.01,36,16,1,0.96,189,129.68,79,79
Sonitpur,132,"2,700","4,303.76","29,728","23,357.15","18,699","10,054",15,27.28,308,407.03,109,103,7,8.66,83,109.66,11,10
South Salmara,14,64,38.38,"2,042",865.64,365,339,-,-,7,9.99,-,-,-,-,28,32.01,2,2
Tamulpur,22,341,770.61,"5,383","4,598.40","2,367","1,301",0,0,19,51.89,0,0,0,0,6,5.05,1,1
Tinsukia,153,"2,771","5,446.55","41,867","35,122.45","27,322","13,645",88,84.83,341,442.55,54,51,15,26.08,96,106.15,7,5
Udalguri,55,"1,553","1,865.47","30,651","21,411.48","16,962","12,910",4,3.96,106,115.63,7,6,7,7.64,30,93.41,1,1
West Karbi Anglong,22,"1,567",707.69,"10,247","4,998.75",726,272,0,0,13,7.67,0,0,-,0,8,1.32,0,0
