district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHIST S No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIAN S No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Minority Disb No.,Tot Minority Disb Amt.
Bajali,34,4,17.00,"1,272","1,990.23",-,0,1,8.9,0,0,2,1.2,"1,279","2,017.33"
Baksa,34,12,19.89,523,804.74,-,0,2,2.08,0,0,2,52.97,539,879.68
Barpeta,90,31,132.22,"14,981","26,023.15",9,17.08,5,21.07,0,0,6,305.24,"15,032","26,498.76"
Biswanath,62,82,102.97,"1,450","3,231.52",7,14.8,2,0.84,1,0.2,4,11.42,"1,546","3,361.75"
Bongaigaon,66,203,"1,058.48","5,482","10,859.72",169,116.86,16,62.03,0,0,12,84.40,"5,882","12,181.49"
Cachar,168,508,967.25,"12,758","20,060.03",15,26.15,9,50.69,0,0,18,412.15,"13,308","21,516.27"
Charaideo,36,27,19.84,315,726.76,8,29.78,12,71.90,0,0,5,2.45,367,850.73
Chirang,39,199,310.55,"1,896","2,622.10",12,21.72,4,11.57,1,0.4,-,-,"2,112","2,966.34"
Darrang,70,40,86.30,"9,058","14,976.99",2,1.25,-,0,1,3,7,167.84,"9,108","15,235.38"
Dhemaji,47,22,130.15,143,275.46,5,6.91,5,20.6,0,0,2,0.55,177,433.67
Dhubri,89,55,94.37,"12,898","20,341.15",5,10.26,3,23.19,0,18.95,3,125.60,"12,964","20,613.52"
Dibrugarh,188,303,626.87,"2,603","6,412.76",50,122.8,61,677.99,1,5,29,745.37,"3,047","8,590.79"
Dima Hasao,32,682,"2,440.18",74,308.99,1,0.2,1,9.00,0,0,0,0,758,"2,758.37"
Goalpara,71,729,586.73,"6,492","10,880.85",1,6,2,3.01,0,0,6,107.42,"7,230","11,584.01"
Golaghat,124,244,367.86,"2,255","4,196.61",56,62.13,15,98.94,0,0,18,263.24,"2,588","4,988.78"
Hailakandi,47,57,94.19,"4,158","6,296.84",-,0,1,0.34,0,0,1,0.65,"4,217","6,392.02"
Hojai,62,34,123.45,"3,509","6,673.44",3,13.05,17,131.22,1,7,3,58.59,"3,567","7,006.75"
Jorhat,141,232,598.53,"1,765","4,315.66",119,293.59,32,386.74,2,9.35,30,"1,071.57","2,180","6,675.44"
Kamrup,176,170,405.45,"11,960","19,858.37",35,44.4,12,51.44,0,0,23,"1,138.92","12,200","21,498.58"
Kamrup Metro,461,580,"3,320.29","7,366","35,350.37",144,315.52,92,"4,131.06",4,21.64,146,"12,230.05","8,332","55,368.93"
Karbi Anglong,65,607,"1,356.17",195,537.34,8,20.36,1,0.50,0,0,4,42.73,815,"1,957.10"
Karimganj,95,128,161.41,"5,490","9,968.73",3,1,5,11.69,0,0,5,163.89,"5,631","10,306.72"
Kokrajhar,58,901,"1,148.54","4,263","6,400.22",1,5,4,33.51,0,0,2,3.61,"5,171","7,590.88"
Lakhimpur,91,206,449.36,"4,701","6,713.75",4,40.53,10,12.51,1,0.89,1,0.34,"4,923","7,217.38"
Majuli,17,2,26.71,-,-,-,0,-,-,0,0,-,-,2,26.71
Morigaon,69,14,83.88,"5,634","5,757.65",4,1.94,-,-,0,0,2,4.96,"5,654","5,848.43"
Nagaon,153,242,433.38,"20,428","31,954.08",13,24.58,25,114.93,1,0.5,8,233.05,"20,717","32,760.52"
Nalbari,88,22,43.01,"5,073","8,971.78",3,6.01,2,3.00,0,0,11,591.98,"5,111","9,615.78"
Sivasagar,102,78,213.36,"2,857","7,168.77",70,111.72,7,5.76,0,0,6,95.05,"3,018","7,594.66"
Sonitpur,132,303,692.21,"6,508","10,053.74",45,556.38,18,150.35,2,1.9,10,268.14,"6,886","11,722.72"
South Salmara,14,3,19.92,623,"1,896.24",1,1.15,1,2.74,0,0,-,-,628,"1,920.05"
Tamulpur,22,16,66.99,238,397.75,1,0.5,0,0,0,0,0,0,255,465.24
Tinsukia,153,186,"1,176.12","1,301","2,422.88",99,1091.82,26,121.86,0,0,18,832.50,"1,630","5,645.18"
Udalguri,55,421,"1,283.53",839,"2,026.70",3,20.88,1,0.5,0,0,2,5.40,"1,266","3,337.01"
West Karbi Anglong,22,108,251.14,2,17.87,1,5.24,3,1.62,0,0,0,0,114,275.87
