district,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt.,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.,Agri NPA Amt %,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt.,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.,MSME NPA Amt %,Total Other PS O/S No.,Total Other PS O/S Amt.,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.,OTHER(PS) NPA Amt %,Total PS O/S No.,Total PS O/S Amt.,Total PSA NPA No.,Total PSA NPA Amt.,TOTAL PSA NPA Amt %
Bajali,34,26033,20865.25,8982,3322.01,15.92,4674,15862.38,1286,836.76,5.28,5037,18992.56,443,238.37,1.26,35744,55720.19,10711,4397.14,7.89
Baksa,34,19331,20699.19,5787,3223.34,15.57,5423,13054.09,1823,1716.83,13.15,1799,8537.52,200,157.35,1.84,26553,42290.80,7810,5097.52,12.05
Barpeta,90,72788,78415.36,24085,14191.93,18.10,18452,75231.92,6424,6634.32,8.82,19618,29696.55,1443,563.02,1.90,110858,183343.83,31952,21389.27,11.67
Biswanath,62,39555,47164.36,13601,7124.18,15.11,10025,28343.78,3451,2237.29,7.89,10595,18694.46,2055,655.08,3.50,60175,94202.60,19107,10016.55,10.63
Bongaigaon,66,34755,42890.32,5647,2702.42,6.30,12157,57503.25,2864,4186.72,7.28,14826,22128.64,1161,279.84,1.26,61738,122522.21,9672,7168.98,5.85
Cachar,168,84203,71293.87,29689,15657.59,21.96,28754,145443.61,7610,13650.12,9.39,60916,55089.27,2187,923.88,1.68,173873,271826.75,39486,30231.59,11.12
Charaideo,36,20654,22238.93,2746,1622.73,7.30,5501,15337.18,1369,1628.46,10.62,5231,7363.35,592,174.46,2.37,31386,44939.46,4707,3425.65,7.62
Chirang,39,24184,23720.15,8956,5134.62,21.65,7310,18659.68,3141,2495.83,13.38,7094,8172.11,1040,142.85,1.75,38588,50551.94,13137,7773.30,15.38
Darrang,70,61985,59436.13,19784,10721.81,18.04,13995,53329.93,5059,5393.57,10.11,11723,19822.67,1584,565.14,2.85,87703,132588.73,26427,16680.52,12.58
Dhemaji,47,40250,42336.76,13578,8646.39,20.42,12966,31423.94,3982,2638.98,8.40,8683,17726.93,547,292.26,1.65,61899,91487.63,18107,11577.63,12.65
Dhubri,89,50239,42419.08,24113,11193.06,26.39,14080,49401.84,5156,3527.75,7.14,20996,24709.27,1121,498.56,2.02,85315,116530.19,30390,15219.37,13.06
Dibrugarh,188,98921,120975.03,33256,19653.65,16.25,31626,194424.95,9224,14674.27,7.55,25899,52789.41,2462,1084.47,2.05,156446,368189.39,44942,35412.39,9.62
Dima Hasao,32,3384,4303.79,723,252.48,5.87,4461,8512.01,726,517.23,6.08,478,4261.83,13,17.80,0.42,8323,17077.63,1462,787.51,4.61
Goalpara,71,41878,42746.53,13511,6575.47,15.38,13905,38048.67,4827,3995.21,10.50,16090,18703.87,1988,754.43,4.03,71873,99499.07,20326,11325.11,11.38
Golaghat,124,89060,87885.89,30127,13635.38,15.51,18801,62353.53,4746,4710.43,7.55,22296,29465.65,1598,382.26,1.30,130157,179705.07,36471,18728.07,10.42
