district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,34,"1,363","2,422.52",1,5.35,0,0,563,833.02,0,0,221,927.71,7,10.52,"1,381","2,166.70",5,18.19,186,163.20,"3,727","6,547.21"
Baksa,34,"1,316","1,364.65",-,-,0,0,60,136.45,0,0,149,552.37,6,4.11,"1,301","2,788.44",6,18.76,262,462.00,"3,100","5,326.78"
Barpeta,90,"5,782","7,602.16",46,99.89,0,0,"1,082","3,200.09",2,7.18,351,923.97,30,25.09,"6,237","8,979.99",227,183.25,"1,008","5,500.23","14,765","26,521.85"
Biswanath,62,"2,457","2,935.58",-,-,0,0,124,323.06,0,0,630,"1,885.73",6,6.07,"3,300","5,266.30",4,13.92,554,"2,632.42","7,075","13,063.08"
Bongaigaon,66,"3,847","9,000.36",18,37.92,1,0.3,555,"1,415.70",0,0,88,256.61,24,10.18,"4,315","5,194.37",49,355.22,481,"1,241.39","9,378","17,512.05"
Cachar,168,"5,204","6,575.38",58,115.38,0,0,1295,2515.19,0,0,301,684.52,68,73.6,"8,069","9,453.96",85,635.05,"1,250","3,206.52","16,330","23,259.60"
Charaideo,36,"1,952","1,680.33",0,0,0,0,32,63.44,0,0,104,324.13,0,0,"1,652","2,660.66",64,164.29,555,953.92,"4,359","5,846.77"
Chirang,39,"2,302","3,007.94",-,-,0,0,62,184.00,0,0,85,190.74,0,0,"2,373","3,225.89",10,40.09,376,329.00,"5,208","6,977.66"
Darrang,70,"3,287","4,692.46",30,69.14,4,22.32,665,"2,208.31",0,0,336,337.28,43,24.38,"6,076","8,546.43",313,200.57,704,"4,469.34","11,458","20,570.23"
Dhemaji,47,"2,766","3,415.59",-,-,0,0,551,"1,480.76",0,0,501,"1,452.03",4,8.95,"2,308","4,491.16",42,63.44,631,844.01,"6,803","11,755.94"
Dhubri,89,"3,088","5,797.97",35,76.40,0,0,398,769.97,0,0,288,444.29,12,9.79,"5,464","7,217.10",116,97.05,545,"1,148.11","9,946","15,560.68"
Dibrugarh,188,"12,388","9,941.42",16,32.5,8,32.21,866,1897.87,0,0,702,"2,545.08",4,7.04,"6,744","9,475.51",55,1592.45,"3,393","16,992.61","24,176","42,516.69"
