District,Total Branch,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S amt,of which girl student O/S Amt
Bajali,34,13,5,34.06,9.99,35,20,51.54,16.30,112,44,353.76,114.50
Baksa,34,5,4,9.37,8.56,23,8,23.89,10.10,73,31,273.17,140.38
Barpeta,90,46,30,164.97,64.85,102,57,120.11,69.10,432,191,1667.13,662.19
Biswanath,62,31,18,151.81,78.47,78,42,133.49,58.14,225,120,834.73,407.76
Bongaigaon,66,28,14,256.55,110.96,55,24,216.78,70.10,187,75,954.34,386.11
Cachar,168,143,37,524.19,164.42,504,105,524.16,157.49,1353,290,4045.73,1088.33
Charaideo,36,17,12,111.63,64.41,32,18,48.21,24.72,89,42,293.70,144.47
Chirang,39,13,6,53.08,33.68,27,10,47.42,27.41,77,20,295.26,80.88
Darrang,70,12,4,61.33,6.33,77,30,98.53,51.31,392,184,1417.82,731.15
Dhemaji,47,26,14,60.06,25.06,66,31,83.06,32.09,199,97,624.12,315.01
Dhubri,89,31,14,82.91,30.84,62,28,96.92,51.61,214,62,830.44,242.22
Dibrugarh,188,92,92,662.03,411.35,247,175,512.68,322.77,980,496,4030.28,1942.37
Dima Hasao,32,5,2,43.77,1.39,11,5,8.33,3.56,42,20,155.10,79.53
Goalpara,71,12,5,105.96,18.00,39,21,63.41,26.62,165,70,702.36,252.90
Golaghat,124,44,22,168.18,92.19,130,59,182.89,75.97,429,194,1750.90,720.50
Hailakandi,47,4,,8.03,,26,6,17.97,5.12,92,26,255.51,91.81
Hojai,62,24,11,45.17,24.00,55,25,70.68,39.57,171,63,689.77,230.02
Jorhat,141,56,33,322.17,191.61,265,139,502.18,259.42,969,467,4322.47,2202.33
Kamrup Metro,176,185,88,401.69,150.67,659,251,785.86,336.84,1578,575,5814.45,2099.25
Karbi Anglong,65,10,5,67.71,57.21,22,7,36.92,22.90,117,45,348.59,167.58
Karimganj,95,13,6,33.97,15.84,43,13,52.54,14.53,149,50,593.92,182.13
Kokrajhar,58,24,9,130.22,18.36,61,30,115.04,32.87,159,59,651.72,217.72
Lakhimpur,91,49,30,126.83,81.01,126,56,143.16,68.85,420,194,1389.10,567.23
Majuli,17,6,3,7.75,2.74,16,5,11.68,3.86,36,7,93.35,11.40
Morigaon,69,15,6,37.08,18.98,58,22,49.00,19.84,165,61,574.85,220.26
Nagaon,153,50,28,371.05,301.19,128,63,243.82,156.05,406,163,1742.87,757.13
Nalbari,88,41,20,162.94,61.23,113,61,184.29,74.06,420,177,1531.24,654.23
Sivasagar,102,67,37,291.31,133.87,132,64,266.51,133.72,390,192,1563.58,725.17
Sonitpur,132,71,31,409.22,137.93,187,87,378.58,162.32,610,254,2953.14,1329.59
South Salmara,14,3,1,3.38,0.88,9,2,6.85,1.05,22,5,65.41,11.06
Tamulpur,22,14,9,18.32,10.97,41,27,42.12,29.08,81,48,219.70,136.83
Tinsukia,153,66,34,268.57,126.18,171,79,283.02,134.48,694,279,2843.01,1097.29
Udalguri,55,32,19,173.28,68.21,100,65,158.50,84.79,369,247,1240.67,751.59
West Karbi Anglong,22,0,0,0,0,1,0,0.70,0,14,4,65.46,18.09
