district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bajali,34,"12,009,417","186,124.66",225,55.61,"1,761",231.49,"158,441","251,871.31","159,861","8,748.19","69,108","1,670.71"
Baksa,34,"11,360,804","149,501.10",272,390.48,65,2.32,"135,026","9,295.52","152,744","6,541.60","42,613","1,047.48"
Barpeta,90,"53,202,973","878,458.46","1,403","7,487.85","5,375",488.32,"635,636","1,149,997.81","355,574","22,211.23","125,110","3,173.35"
Biswanath,62,"24,947,037","297,873.93",273,"1,784.31","2,776",285.79,"385,265","415,587.96","333,208","20,494.30","91,509","2,041.44"
Bongaigaon,66,"26,541,370","437,662.65",475,"3,056.83","7,965",601.71,"336,115","1,094,829.29","385,539","23,657.05","128,994","3,243.41"
Cachar,168,"59,179,122","907,957.29",808,"3,804.50","35,761","1,006.79","948,544","701,256.35","992,274","49,192.18","293,469","7,260.78"
Charaideo,36,"13,437,461","148,424.43",520,659.52,971,107.25,"255,878","130,853.90","179,270","6,612.87","39,721","1,130.93"
Chirang,39,"13,293,549","213,659.44",343,12.26,"1,637",137.13,"142,054","198,308.04","106,580","5,442.58","101,183","2,453.16"
Darrang,70,"28,748,118","487,863.67",798,"7,312.83","6,658",677.31,"362,430","1,099,790.84","328,546","17,540.94","70,633","1,878.34"
Dhemaji,47,"29,232,039","351,845.85",564,"3,926.09","2,500",269.07,"295,266","507,647.89","234,693","14,471.25","64,425","1,629.78"
Dhubri,89,"43,880,277","679,026.85",939,"4,388.40","4,735",382.42,"692,356","665,131.69","302,652","18,829.21","85,622","2,845.32"
Dibrugarh,188,"63,487,837","1,193,175.59",939,590.68,"37,811",790.66,"908,860","828,886.10","1,573,142","72,075.22","457,019","10,295.43"
Dima Hasao,32,"9,535,808","132,072.37",35,1.89,967,71.17,"69,214","142,163.22","115,748","8,921.54","25,850",925.93
Goalpara,71,"27,682,728","521,216.00",976,"14,187.01","4,677",372.54,"417,387","767,362.58","252,898","21,246.36","62,048","1,845.65"
Golaghat,124,"46,724,506","575,132.46",372,7.19,"11,796",397.21,"720,137","359,158.39","832,964","39,207.49","180,300","4,519.21"
Hailakandi,47,"19,912,759","274,606.02",764,"1,947.30","1,093",93.79,"267,756","165,798.65","191,184","13,520.82","32,672",981.32
Hojai,62,"38,577,874","581,214.32",574,15.90,"5,493",449.16,"430,312","596,708.07","413,033","22,179.40","57,152","1,679.98"
Jorhat,141,"45,039,612","1,051,883.93","1,090",239.78,"94,408","1,710.88","691,966","493,469.10","1,094,229","46,136.96","436,513","9,644.42"
Kamrup Metro,176,"53,798,419","889,706.80",732,"5,734.34","13,140","1,054.52","513,086","1,244,944.36","762,815","46,664.15","241,036","6,718.36"
Karbi Anglong,65,"24,237,668","293,509.95",75,3.37,"1,441",108.07,"247,265","154,755.58","220,741","15,877.47","83,988","2,227.11"
Karimganj,95,"38,064,092","661,042.37",525,"1,632.86","4,324",438.51,"649,457","693,694.49","470,144","29,772.04","75,543","2,223.92"
Kokrajhar,58,"23,339,338","352,191.06",666,"2,844.81","3,461",337.02,"218,776","673,515.66","196,026","15,040.94","120,330","3,473.48"
Lakhimpur,91,"46,890,525","558,784.61",579,"4,262.37","5,664",414.11,"773,571","574,241.26","497,437","30,864.80","97,262","2,499.86"
Majuli,17,"5,899,301","62,840.63",104,254.41,986,96.18,"92,892","76,868.19","126,273","5,422.02","12,368",310.84
Morigaon,69,"26,643,473","430,096.17",555,"3,460.01","3,011",262.05,"474,882","274,209.12","405,527","24,443.92","59,411","1,397.57"
Nagaon,153,"62,515,789","977,640.86","2,081","6,909.74","21,192",864.40,"1,169,253","963,554.57","717,217","39,737.25","232,068","6,202.99"
Nalbari,88,"23,868,475","355,682.29",363,"3,493.59","4,172",282.94,"291,373","344,264.57","315,193","20,878.87","129,087","3,163.87"
Sivasagar,102,"38,337,118","451,490.96",374,889.72,"64,821",766.13,"561,176","230,624.88","713,545","29,921.24","270,926","6,634.29"
Sonitpur,132,"46,701,621","665,264.13",537,"2,150.00","39,966",970.61,"718,218","1,102,460.09","758,696","48,050.21","424,280","8,318.99"
South Salmara,14,"4,980,548","116,914.28",448,"8,823.16","1,557",245.70,"36,892","252,087.48","14,544",959.29,"4,663",229.17
Tamulpur,22,"9,129,702","116,669.70",184,328.92,"1,224",128.96,"47,396","51,042.21","58,602","2,730.55","39,165",938.14
Tinsukia,153,"47,062,771","676,828.81","3,390","1,385.32","19,695",763.91,"758,702","764,490.55","981,108","49,907.54","223,101","4,861.98"
Udalguri,55,"23,412,694","294,137.35","1,194","2,186.38","2,569",256.29,"211,998","305,497.38","150,279","12,493.03","73,478","1,691.39"
West Karbi Anglong,22,"8,816,451","87,267.64",719,8.77,0,0,"67,937","2,721.06","38,732","1,437.29","15,772",461.56
