district,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Bajali,34,0,0.00,34,29.99,162,466.32,0,0,6,1.8,650,441.55,852,939.66,"3,846","6,710.64"
Baksa,34,0,0.00,24,24.89,34,264.73,0,0,22,5.4,246,437.96,326,732.98,"2,715","5,418.97"
Barpeta,90,0,0.00,127,150.51,373,"1,723.86",1,50.3,13,15.07,"5,861","3,340.70","6,375","5,280.44","20,712","28,765.57"
Biswanath,62,0,0.00,75,106.71,88,272.29,0,0,0,0,"2,505","2,077.09","2,668","2,456.09","8,270","12,617.11"
Bongaigaon,66,0,0.00,70,116.55,230,"1,181.20",1,5.66,1,0.3,"3,767","2,049.23","4,069","3,352.94","12,562","20,240.52"
Cachar,168,0,0.00,527,530.88,597,"3,351.88",1,3,1,3,"20,120","8,633.17","21,246","12,521.93","36,012","31,292.03"
Charaideo,36,0,0.00,31,41.72,28,106.50,0,0,0,0,"1,153",563.78,"1,212",712.00,"4,477","5,184.94"
Chirang,39,0,0.00,24,26.34,62,272.90,0,0,1,1.08,"1,803","1,245.19","1,890","1,545.51","5,676","7,619.18"
Darrang,70,0,0.00,123,120.57,177,"1,640.95",0,0,0,0,"3,226","2,195.35","3,526","3,956.87","14,188","22,598.08"
Dhemaji,47,0,0.00,66,73.16,113,506.87,0,0,0,0,"2,091","1,877.83","2,270","2,457.86","7,962","14,364.71"
Dhubri,89,0,0.00,62,87.98,170,541.63,0,0,0,0,"6,698","4,676.68","6,930","5,306.29","16,131","21,182.23"
Dibrugarh,188,0,0.00,283,490.43,568,"2,837.33",14,0,0,0,"6,277","3,577.83","7,142","6,905.59","29,833","33,305.79"
Dima Hasao,32,0,0.00,12,8.60,32,218.14,0,0,0,0,-,-,44,226.74,"1,646","3,300.96"
Goalpara,71,0,0.00,50,99.49,127,692.00,0,0,0,0,4081,2744.41,"4,258","3,535.90","11,913","16,554.00"
Golaghat,124,0,0.00,178,261.65,268,"1,115.02",0,0,1,2,"6,389","2,981.36","6,836","4,360.03","19,157","23,576.25"
Hailakandi,47,0,0.00,29,20.62,124,380.34,0,0,0,0,"3,311","1,649.08","3,464","2,050.04","8,656","7,797.43"
Hojai,62,0,0.00,54,53.97,85,220.54,0,0,1,1.26,"2,809","1,786.41","2,949","2,062.18","8,944","11,735.29"
Jorhat,141,0,0.00,301,545.98,585,"3,224.53",0,0,2,3.3,"5,179","2,659.99","6,067","6,433.80","19,702","21,139.34"
Kamrup Metro,176,0,0.00,708,792.22,912,"2,744.81",0,0,0,0,"8,071","5,176.65","9,691","8,713.68","26,229","33,102.01"
Karbi Anglong,65,0,0.00,23,24.42,44,198.78,0,0.00,0,0,"1,379",805.76,"1,446","1,028.96","6,445","8,890.26"
Karimganj,95,0,0.00,46,54.90,230,511.74,0,0,1,1.8,"7,553","3,727.59","7,830","4,296.03","15,300","13,310.58"
Kokrajhar,58,0,0.00,62,75.66,114,586.46,0,0,0,0,"4,297","3,131.73","4,473","3,793.85","14,111","20,360.65"
Lakhimpur,91,0,0.00,156,229.17,295,"1,500.70",2,0.8,0,0,"3,020","2,003.83","3,473","3,734.50","18,033","22,910.93"
Majuli,17,0,0.00,16,11.68,30,103.82,0,0,0,0,118,520.78,164,636.28,"1,541","3,201.36"
Morigaon,69,0,0.00,78,138.10,103,606.87,0,0,7,2.1,"2,520","1,376.81","2,708","2,123.88","12,876","13,503.74"
Nagaon,153,0,0.00,140,245.01,378,"1,719.94",2,93.93,4,0,"7,884","3,919.43","8,408","5,978.31","29,255","37,537.07"
Nalbari,88,0,0.00,150,184.81,211,"1,581.86",0,0,1,0,"4,261","2,625.37","4,623","4,392.04","14,503","21,790.68"
Sivasagar,102,0,0.00,157,294.58,368,"1,865.40",1,2.38,0,0,"3,790","2,089.71","4,316","4,252.07","14,211","17,777.15"
Sonitpur,132,0,0.00,239,446.77,570,"3,261.14",0,0,1,2.36,"6,265","6,076.99","7,075","9,787.26","18,025","25,762.77"
South Salmara,14,0,0.00,9,6.85,20,71.34,0,0,0,0,65,310.95,94,389.14,605,"1,712.95"
Tamulpur,22,0,0.00,40,36.92,38,165.47,0,0,0,0,419,526.19,497,728.58,"1,960","4,486.98"
Tinsukia,153,0,0.00,238,479.01,361,"1,793.13",1,12.33,1,1.77,"4,897","2,724.58","5,498","5,010.82","17,640","23,791.03"
Udalguri,55,0,0.00,97,108.42,183,373.07,0,0,0,0,"1,330","1,010.35","1,610","1,491.84","8,705","10,323.80"
West Karbi Anglong,22,0,0.00,1,0.70,10,21.66,0,0,0,0,0,0,11,22.36,"1,328","2,186.85"
