district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt.
Bajali,34,20,81.00,"8,478","8,040.28",1,1.12,2,12.72,0,0,241,49.39,"8,742","8,184.51"
Baksa,34,63,170.05,"3,530","5,642.44",12,38.46,4,4.83,0,0,14,111.19,"3,623","5,966.97"
Barpeta,90,162,592.09,"78,411","115,323.42",35,57.98,9,40.69,0,0,"1,039",582.99,"79,656","116,597.17"
Biswanath,62,393,489.17,"8,972","10,556.83",409,561.85,15,65.78,1,0.19,112,145.99,"9,902","11,819.81"
Bongaigaon,66,"1,145","2,471.58","25,165","42,894.76",673,376.60,45,187.12,49,9.85,150,311.58,"27,227","46,251.49"
Cachar,168,"2,104","5,332.42","74,430","105,248.24",68,235.18,66,253.32,4,8.24,132,"2,867.35","76,804","113,944.75"
Charaideo,36,147,163.23,"2,697","4,396.13",69,201.30,35,149.03,5,11.92,36,17.39,"2,989","4,939.00"
Chirang,39,"2,458","2,163.06","7,519","9,214.63",40,36.75,9,24.62,6,5.14,53,11.69,"10,085","11,455.89"
Darrang,70,276,468.30,"48,169","57,212.46",858,"1,370.61",14,39.27,2,3.52,"1,068",676.94,"50,387","59,771.10"
Dhemaji,47,125,404.91,600,"1,234.25",25,124.99,23,109.18,1,3.69,57,37.43,831,"1,914.45"
Dhubri,89,"1,049",913.88,"69,128","87,713.59",11,24.28,29,141.58,1,9.54,62,269.80,"70,280","89,072.67"
Dibrugarh,188,"1,181","2,910.07","10,445","23,106.56",219,752.48,292,"1,768.24",9,11.85,191,909.13,"12,337","29,458.33"
Dima Hasao,32,"3,221","10,152.68",362,"1,339.07",8,26.90,5,19.75,0,0,-,-,"3,596","11,538.40"
Goalpara,71,"3,342","2,516.49","36,017","52,484.13",10,17.25,13,41.03,14,13.2,877,317.98,"40,273","55,390.08"
Golaghat,124,"1,303","1,511.87","12,033","17,135.93",252,259.67,63,296.06,4,2.33,217,296.66,"13,872","19,502.52"
Hailakandi,47,230,454.50,"26,773","37,319.43",2,5.67,7,3.60,0,0,60,17.57,"27,072","37,800.77"
Hojai,62,299,810.37,"21,758","34,157.34",20,83.35,45,212.06,1,6.7,308,105.00,"22,431","35,374.82"
Jorhat,141,870,"2,761.96","9,015","19,621.42",417,839.30,151,"1,224.89",5,37.9,172,"1,135.74","10,630","25,621.21"
Kamrup,176,965,"1,577.00","61,306","81,102.04",211,260.02,34,180.24,0,0,"1,435","1,520.51","63,951","84,639.81"
Kamrup Metro,461,"2,630","19,060.35","36,520","151,693.99",738,"3,317.43",470,"6,123.36",9,40.69,822,"23,558.88","41,189","203,794.70"
Karbi Anglong,65,"2,836","5,875.57","1,547","2,528.12",71,225.56,26,208.21,1,0.56,14,328.27,"4,495","9,166.29"
Karimganj,95,470,690.03,"31,212","45,025.87",9,21.54,21,74.96,1,6.32,62,185.66,"31,775","46,004.38"
Kokrajhar,58,"4,411","4,158.22","18,886","25,638.91",8,16.96,15,62.37,3,183.81,126,107.62,"23,449","30,167.89"
Lakhimpur,91,972,"1,823.75","21,197","27,641.22",788,"1,073.22",38,112.48,22,17.63,"1,257","1,047.22","24,274","31,715.52"
Majuli,17,11,43.74,90,305.05,4,4.98,-,-,0,0,1,0.43,106,354.20
Morigaon,69,133,335.42,"28,751","31,070.17",35,41.90,15,13.37,1,0.42,146,67.56,"29,081","31,528.84"
Nagaon,153,919,"1,214.08","106,547","130,995.52",58,59.90,162,760.89,11,4.71,377,145.44,"108,074","133,180.54"
Nalbari,88,86,254.69,"26,850","39,038.03",22,41.82,32,39.51,3,2.14,311,"1,108.53","27,304","40,484.72"
Sivasagar,102,296,664.36,"14,405","29,506.25",317,427.08,46,142.09,1,2.64,212,300.21,"15,277","31,042.63"
Sonitpur,132,"1,368","3,413.80","30,488","36,884.09","1,208","3,130.50",129,592.68,3,1.88,666,"2,866.77","33,862","46,889.72"
South Salmara,14,23,97.02,"5,864","12,105.87",2,1.74,4,25.38,0,0,-,-,"5,893","12,230.01"
Tamulpur,22,62,221.64,"1,709","2,882.19",2,0.89,5,11.51,0,0,46,14.60,"1,824","3,130.83"
Tinsukia,153,"1,273","4,374.62","5,660","11,450.58",679,"2,767.84",168,"1,711.45",0,0,157,"1,434.51","7,937","21,739.00"
Udalguri,55,"5,054","8,991.25","6,919","14,506.57",489,681.50,9,26.32,5,3.12,179,37.71,"12,655","24,246.47"
West Karbi Anglong,22,474,"1,250.99",45,212.30,2,6.58,5,19.89,1,0.4,0,0,527,"1,490.16"
