District,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bajali,34,420,"2,900.33",190,"2,546.88",15,"1,917.88",17,"1,203.57",3,201.1,0,0,11,77.59,0,0,1,1.2,0,0,0,0,657,"8,848.55"
Baksa,34,408,985.15,337,"2,385.21",13,356.49,36,"2,388.00",2,178.69,1,28.75,2,5.86,11,10.12,2,0.06,0,0,1,18,813,"6,356.33"
Barpeta,90,"1,917","11,809.43","1,207","16,253.75",104,"3,967.79",119,"8,896.41",8,988.83,13,4076.76,17,177.99,83,125.55,2,0.5,1,15.17,2,89.27,"3,473","46,401.45"
Biswanath,62,878,"7,623.53",425,"3,578.09",44,"1,322.17",30,622.93,3,87.33,0,0,1,1.81,4,3.91,1,1.5,0,0,0,0,"1,386","13,241.27"
Bongaigaon,66,"1,307","9,553.38",761,"7,040.89",73,"6,301.70",76,"6,584.98",7,1935.63,4,1635.93,15,64.91,17,31.21,11,33.86,0,0,0,0,"2,271","33,182.49"
Cachar,168,"4,585","20,162.00","2,356","16,960.47",158,"12,236.70",186,"20,355.33",24,4534.65,17,8873.47,36,129.28,90,98.9,2,177.08,0,0,1,5.53,"7,455","83,533.41"
Charaideo,36,646,"3,525.46",399,"2,784.92",19,343.60,11,334.42,2,8,0,0,4,16.92,0,0,3,10,0,0,0,0,"1,084","7,023.32"
Chirang,39,843,"3,150.69",422,"2,167.96",20,"1,406.82",10,881.04,2,881.25,1,293.75,4,12.03,19,19.06,1,0.02,0,0,0,0,"1,322","8,812.62"
Darrang,70,"1,458","8,452.48",889,"7,028.83",59,"3,120.96",72,"5,397.45",6,122.68,1,5,19,20.78,28,26.1,2,2,0,0,0,0,"2,534","24,176.28"
Dhemaji,47,998,"3,522.28",921,"5,667.46",33,"1,232.48",36,"2,483.40",1,49,1,67.95,4,35.2,1,0.91,77,124.47,0,0,0,0,"2,072","13,183.15"
Dhubri,89,"1,676","10,965.12",982,"7,536.01",78,"6,233.69",59,"5,315.47",11,1107.27,3,1565,2,25.74,0,0.43,8,7,0,0,0,0,"2,819","32,755.73"
Dibrugarh,188,"3,986","29,458.13","2,444","24,741.90",185,"16,235.29",195,15335.76,60,5060.22,17,5025.66,30,204.66,39,49.22,18,21.45,59,824.28,11,1428.22,"7,044","98,384.79"
Dima Hasao,32,751,"1,464.54",307,916.53,2,40.20,4,95.14,1,23,1,18.89,1,0.27,2,1.76,0,0,0,0,0,0,"1,069","2,560.33"
Goalpara,71,"1,067","5,963.83",799,"5,258.88",36,"1,664.01",48,"4,932.03",2,24.4,9,1772.25,0,0,18,17.73,2,8.4,2,3,0,0,"1,983","19,644.53"
Golaghat,124,"1,620","9,470.27","1,047","8,497.15",64,"3,779.84",103,"7,315.07",13,490.28,1,0.09,16,146.95,1,0.25,2,2.41,0,0,0,0,"2,867","29,702.31"
Hailakandi,47,838,"2,388.09",567,"3,540.26",22,"1,099.88",25,796.07,0,0,0,0,9,31.1,25,31.32,0,0,3,4.5,0,0,"1,489","7,891.22"
Hojai,62,"1,650","9,237.73",795,"7,277.86",75,"2,957.25",90,"3,472.98",4,500.05,2,170,3,17.78,3,2.91,0,0,1,1.75,0,0,"2,623","23,638.31"
Jorhat,141,"2,147","20,482.53","1,401","18,231.35",137,"8,483.49",193,"16,849.79",33,3250.59,6,3171.54,4,19.24,0,0,60,46.45,0,0,0,0,"3,981","70,534.98"
Kamrup Metro,176,"2,451","12,467.81","1,643","20,579.96",96,"3,533.02",192,"21,090.08",39,689.55,14,2178.68,117,345.48,72,72.36,4,0.58,0,0,0,0,"4,628","60,957.52"
Karbi Anglong,65,"1,497","4,793.81",587,"3,248.67",15,496.78,18,"1,423.65",2,4.08,1,190,32,113.97,3,2.55,1,0,0,0,0,0,"2,156","10,273.51"
Karimganj,95,"1,257","5,346.70",760,"9,188.95",64,"3,557.89",94,"10,390.96",4,325.71,3,1408,5,16.63,67,67.33,0,0,0,0,0,0,"2,254","30,302.17"
Kokrajhar,58,"1,066","6,772.62",707,"5,073.69",29,"1,582.07",38,"2,846.45",1,1.11,1,50,5,27.26,6,6.49,109,502.41,0,0,2,60,"1,964","16,922.10"
Lakhimpur,91,"1,849","7,111.38","1,198","10,064.89",82,"3,175.16",133,"9,804.22",10,1448.75,10,3143.09,12,123.5,5,10.09,11,16.89,0,0,0,0,"3,310","34,897.97"
Majuli,17,166,698.02,84,502.90,11,177.52,5,158.90,1,3.3,0,0,3,3.98,0,0,1,0.02,0,0,0,0,271,"1,544.64"
Morigaon,69,"1,138","4,933.02",662,"3,971.54",49,"1,047.33",35,758.90,8,61.19,3,7.98,1,4.74,0,0,0,0,0,0,0,0,"1,896","10,784.70"
Nagaon,153,"3,236","18,249.43","1,877","19,785.44",152,"8,716.54",178,"16,616.68",29,4402.53,12,4345.03,36,240.14,22,46.41,1,0.01,0,0,0,0,"5,543","72,402.21"
Nalbari,88,"1,492","7,291.38","1,043","9,529.94",47,"2,888.29",74,"6,360.33",2,39,9,1821.35,21,110.26,30,44.23,1,18,0,0,0,0,"2,719","28,102.78"
Sivasagar,102,"1,701","9,200.82","1,138","11,723.18",84,"4,591.61",161,"10,894.07",11,206.8,10,1623.2,7,18.62,20,19.91,15,21.06,0,0,0,0,"3,147","38,299.27"
Sonitpur,132,"2,500","18,574.43","1,496","15,719.56",115,"11,487.53",177,"14,301.64",22,3496.31,9,1255.38,13,29.76,161,173.51,37,49.8,0,0,0,0,"4,530","65,087.92"
South Salmara,14,212,"1,540.82",103,653.60,11,276.54,5,121.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,"2,591.97"
Tamulpur,22,374,"1,071.48",174,"1,011.91",7,182.25,3,57.39,0,0,1,44.39,1,0,0,0,0,0,0,0,1,25,561,"2,392.42"
Tinsukia,153,"3,194","31,186.94","2,458","28,618.86",240,"14,019.25",276,"23,231.33",18,3814.55,26,5536.02,17,84.93,62,61.62,120,134.42,2,34.7,20,2746.42,"6,433","109,469.04"
Udalguri,55,970,"5,165.31",525,"4,468.55",15,189.20,14,"2,783.20",0,0,0,0,0,0,7,6.64,3,5,0,0,2,100,"1,536","12,717.90"
West Karbi Anglong,22,319,377.92,108,169.64,0,0,1,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,550.04
