District,Total Branch,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Bajali,34,"21,983","20,954.07","3,644","5,025.10"
Baksa,34,"10,224","15,451.69","1,951","3,441.56"
Barpeta,90,"68,045","72,071.51","16,900","18,928.02"
Biswanath,62,"33,943","33,092.52","7,319","8,861.33"
Bongaigaon,66,"44,832","58,897.81","10,454","14,635.04"
Cachar,168,"136,832","117,407.17","39,228","32,778.08"
Charaideo,36,"17,553","22,273.67","4,055","4,632.40"
Chirang,39,"20,536","20,020.15","5,273","5,105.26"
Darrang,70,"55,925","47,761.04","11,481","13,704.43"
Dhemaji,47,"35,210","48,362.08","6,855","11,413.35"
Dhubri,89,"55,477","43,633.23","13,277","12,121.75"
Dibrugarh,188,"108,241","152,769.91","29,234","35,369.58"
Dima Hasao,32,"7,016","19,550.31","1,379","4,021.68"
Goalpara,71,"42,583","40,491.56","10,014","10,880.35"
Golaghat,124,"79,249","78,620.93","19,893","20,866.03"
Hailakandi,47,"21,985","21,751.58","6,450","5,634.12"
Hojai,62,"32,977","32,379.74","7,992","8,630.38"
Jorhat,141,"85,476","121,621.08","20,086","28,090.05"
Kamrup Metro,176,"130,118","135,312.77","30,242","33,200.38"
Karbi Anglong,65,"33,451","59,394.59","6,516","10,555.21"
Karimganj,95,"52,624","40,181.20","15,017","12,025.37"
Kokrajhar,58,"40,128","44,965.78","11,848","12,109.68"
Lakhimpur,91,"72,828","86,325.60","14,060","21,184.06"
Majuli,17,"6,225","8,851.63",967,"1,857.52"
Morigaon,69,"41,766","39,560.56","9,343","11,069.82"
Nagaon,153,"122,525","140,481.63","27,376","36,082.28"
Nalbari,88,"57,678","66,929.91","11,877","16,353.21"
Sivasagar,102,"67,623","94,768.70","15,564","21,171.21"
Sonitpur,132,"82,249","106,878.23","18,655","24,823.20"
South Salmara,14,"1,508","2,433.48",155,329.20
Tamulpur,22,"8,600","9,294.12","1,694","1,979.63"
Tinsukia,153,"71,041","98,439.69","16,909","24,056.48"
Udalguri,55,"28,453","36,578.54","5,516","7,372.57"
West Karbi Anglong,22,"6,783","11,075.19","1,047","1,818.82"
