District,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Bajali,34,"169,853","109,589",65
Baksa,34,"90,568","77,204",85
Barpeta,91,"432,863","365,166",84
Biswanath,62,"235,263","161,600",69
Bongaigaon,66,"406,354","300,742",74
Cachar,171,"1,197,416","576,998",48
Charaideo,36,"146,543","82,510",56
Chirang,39,"178,636","103,007",58
Darrang,70,"297,816","233,816",79
Dhemaji,48,"202,342","199,200",98
Dhubri,90,"399,857","248,984",62
Dibrugarh,190,"1,353,443","821,641",61
Dima Hasao,33,"148,589","65,226",44
Goalpara,71,"301,115","204,312",68
Golaghat,125,"470,665","423,438",90
Hailakandi,47,"222,839","99,774",45
Hojai,63,"359,742","181,784",51
Jorhat,142,"909,276","647,455",71
Kamrup Metro,178,"797,238","551,335",69
Karbi Anglong,66,"213,071","200,506",94
Karimganj,96,"506,424","199,807",39
Kokrajhar,59,"423,977","230,940",54
Lakhimpur,92,"372,765","375,332",101
Majuli,17,"50,049","43,993",88
Morigaon,69,"223,899","167,586",75
Nagaon,155,"733,425","610,111",83
Nalbari,89,"401,647","290,841",72
Sivasagar,103,"575,975","417,935",73
Sonitpur,133,"719,011","535,577",74
South Salmara,15,"35,206","24,404",69
Tamulpur,22,"67,386","45,334",67
Tinsukia,154,"938,624","582,278",62
Udalguri,55,"207,006","167,826",81
West Karbi Anglong,22,"36,421","38,912",107
