district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bajali,34,250,456.23,"2,428","2,899.45",140,718.71,"1,595","3,867.15"
Baksa,34,149,517.22,"1,312","3,308.89",720,"2,578.25","7,438","18,659.55"
Barpeta,90,919,"1,496.93","5,810","6,537.20",273,"1,351.33","3,003","7,669.32"
Biswanath,62,556,"1,021.76","5,483","6,357.27",434,"1,149.14","9,278","9,920.05"
Bongaigaon,66,869,"1,835.34","5,303","9,729.63",601,"4,794.30","5,601","20,729.46"
Cachar,168,"4,779","5,347.61","23,126","24,005.55",579,"1,430.65","3,993","9,515.83"
Charaideo,36,106,185.63,844,"1,123.29",82,296.22,821,"2,006.13"
Chirang,39,464,736.46,"2,651","3,488.04","1,478","5,841.70","15,342","31,464.26"
Darrang,70,253,444.77,"2,316","3,000.95",230,790.64,"1,963","3,904.51"
Dhemaji,47,328,"1,198.51","4,047","6,201.83","2,567","8,926.00","24,307","51,567.63"
Dhubri,89,588,"1,243.61","4,142","5,425.33",142,586.21,"3,616","4,917.30"
Dibrugarh,188,"1,703","3,105.55","10,073","16,778.87","2,448","6,180.89","13,340","32,815.87"
Dima Hasao,32,62,168.49,554,"1,539.10",975,"3,836.55","6,868","23,020.55"
Goalpara,71,452,801.10,"3,035","4,394.27","1,524","2,989.27","10,666","16,400.58"
Golaghat,124,"1,356","1,965.57","8,561","10,464.51","1,213","3,292.36","12,780","19,250.64"
Hailakandi,47,648,"1,126.12","3,532","4,728.73",103,258.02,878,"1,578.38"
Hojai,62,"1,035","1,750.04","6,469","8,261.57",344,"1,259.84","3,024","6,933.69"
Jorhat,141,"1,297","2,557.59","9,815","14,045.15","1,335","3,748.73","14,384","22,766.14"
Kamrup,176,"1,837","2,919.90","11,868","12,527.34","2,117","4,313.94","13,839","23,206.91"
Kamrup Metro,461,"2,787","8,241.89","17,789","48,043.82","4,084","12,737.70","29,746","87,442.66"
Karbi Anglong,65,169,695.90,"1,774","3,719.96","2,924","10,055.05","21,033","58,166.07"
Karimganj,95,"2,084","2,153.28","10,108","8,807.81",168,387.49,"1,067","1,856.00"
Kokrajhar,58,506,"1,504.53","2,826","5,787.18","2,975","13,215.58","24,602","76,331.91"
Lakhimpur,91,"1,082","2,375.17","9,236","13,069.21","3,407","7,454.99","26,375","48,828.21"
Majuli,17,126,394.24,"1,937","2,838.02",381,"1,560.37","4,790","10,868.87"
Morigaon,69,700,"1,148.51","6,704","7,357.80","1,346","2,706.56","12,475","15,012.41"
Nagaon,153,"1,673","3,600.91","12,943","15,230.79","1,205","3,184.68","8,873","15,802.18"
Nalbari,88,486,"1,018.72","4,144","5,473.71",385,806.27,"2,806","6,020.14"
Sivasagar,102,748,"1,802.52","5,586","9,308.66",604,"2,307.84","4,418","10,764.46"
Sonitpur,132,"1,188","2,545.90","7,614","12,596.07","1,170","3,504.47","9,483","18,648.63"
South Salmara,14,12,45.53,95,270.18,15,56.56,115,358.14
Tamulpur,22,87,354.07,"1,638","2,182.76",409,"1,771.24","4,857","11,338.44"
Tinsukia,153,652,"1,350.78","5,093","8,030.89","1,388","5,541.95","9,033","23,570.47"
Udalguri,55,294,728.75,"2,935","3,960.79","2,848","7,930.36","29,211","47,376.82"
West Karbi Anglong,22,69,188.70,377,880.45,699,"1,864.71","5,173","12,994.39"
