district,Total Branch,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bajali,34,91,105.15,331,"1,379.53",204,163.03,530,"2,121.42","2,967","6,936.99",73,49.71,0.72
Baksa,34,80,8.49,382,"1,586.97",565,211.98,633,"2,511.39","4,120","9,968.21",258,185.19,1.86
Barpeta,90,532,655.77,"1,415","5,228.69","2,927","1,464.65","2,388","8,648.37","11,154","22,826.64",851,540.80,2.37
Biswanath,62,342,67.57,756,"2,735.92","1,821",273.01,"1,284","4,308.67","8,422","18,446.86",861,339.29,1.84
Bongaigaon,66,148,141.31,637,"2,502.64","1,401",468.87,"1,075","4,117.09","5,348","12,738.89",138,81.00,0.64
Cachar,168,317,127.70,"1,166","3,064.66","1,396",723.98,"1,783","4,643.84","8,743","15,932.78",534,210.06,1.32
Charaideo,36,35,15.12,326,"1,329.40",392,81.41,596,"2,382.29","4,408","9,986.99",94,55.10,0.55
Chirang,39,47,17.34,243,711.57,"1,063",190.42,434,"1,199.06","3,020","7,232.70",231,94.44,1.31
Darrang,70,233,177.38,"1,029","3,648.44","1,662",593.47,"1,751","6,158.08","8,522","17,682.84",591,523.14,2.96
Dhemaji,47,283,132.76,951,"3,416.28","2,474",530.37,"1,741","6,304.85","7,910","20,024.44",465,185.29,0.93
Dhubri,89,263,222.80,784,"2,003.88","4,073","1,097.23","1,207","3,001.96","8,289","13,558.48",800,341.43,2.52
Dibrugarh,188,271,143.84,"1,108","4,010.40","2,339",746.32,"1,910","6,996.19","8,810","22,466.08",386,177.00,0.79
Dima Hasao,32,74,2.11,171,437.09,267,42.34,250,597.99,"1,410","2,988.44",77,35.72,1.20
Goalpara,71,126,33.48,607,"2,243.06",908,222.87,997,"3,639.08","6,960","15,589.19",715,335.65,2.15
Golaghat,124,208,264.89,"1,028","3,829.66","2,165",711.79,"1,887","6,920.44","10,572","28,491.41",212,132.33,0.46
Hailakandi,47,76,86.01,325,700.34,"1,086",695.33,508,"1,043.90","3,553","6,146.92",403,167.86,2.73
Hojai,62,102,93.31,631,"1,818.58","1,200",276.11,"1,105","3,234.03","5,534","10,840.60",193,131.43,1.21
Jorhat,141,140,113.11,694,"2,522.70","1,319",632.50,"1,357","4,710.45","7,941","20,604.98",92,57.22,0.28
Kamrup Metro,176,326,116.24,"1,121","4,650.51","1,571",525.47,"1,819","7,291.08","11,481","27,331.95",972,710.58,2.60
Karbi Anglong,65,71,3.78,543,"1,950.57",332,27.11,923,"3,249.20","7,648","21,205.91",216,64.91,0.31
Karimganj,95,151,206.01,628,"1,248.11",817,579.45,940,"1,912.82","5,076","8,778.55",622,222.98,2.54
Kokrajhar,58,137,167.14,544,"2,119.77","3,233",742.86,882,"3,183.78","4,432","8,745.03",297,90.79,1.04
Lakhimpur,91,192,305.26,"1,275","4,488.79","2,086",907.74,"2,223","7,786.48","11,051","23,924.50",681,180.06,0.75
Majuli,17,18,1.73,186,841.33,125,7.48,295,"1,196.50","2,181","4,468.97",93,47.70,1.07
Morigaon,69,302,120.15,"1,002","3,002.80","1,318",245.93,"1,542","4,720.81","8,453","15,620.50","1,674",805.14,5.15
Nagaon,153,585,297.83,"2,215","8,299.22","4,736",725.71,"3,698","13,357.88","15,900","35,715.84",552,398.38,1.12
Nalbari,88,238,140.54,"1,094","4,948.26","1,073",640.26,"1,787","7,967.68","9,548","22,964.03",593,335.03,1.46
Sivasagar,102,105,115.64,515,"1,737.72","1,166",486.65,928,"3,077.23","6,081","13,352.84",127,85.04,0.64
Sonitpur,132,397,344.32,"1,082","4,545.52","2,012",734.93,"1,749","7,049.21","9,678","21,472.50","1,002",395.45,1.84
South Salmara,14,21,14.28,84,209.10,399,56.05,129,332.10,"1,014","1,912.36",158,43.13,2.26
Tamulpur,22,91,43.55,249,887.53,695,225.40,393,"1,423.13","2,381","5,903.23",71,44.63,0.76
Tinsukia,153,267,306.10,870,"3,323.92","1,549",679.78,"1,460","5,675.81","7,933","20,250.93",421,204.80,1.01
Udalguri,55,212,190.59,481,"1,710.43","1,946",517.91,752,"2,587.28","4,759","9,394.42",477,348.79,3.71
West Karbi Anglong,22,23,1.64,213,747.16,374,13.19,382,"1,346.09","2,972","6,559.53",301,66.60,1.02
