district,Branch,Total Branch,ATM,Total ATM,BC Fixed,BC Other,BC Total
Bishnupur,3,18,11,22,17,14,44
Chandel,4,4,4,6,8,1,9
Churachandpur,13,18,11,28,27,17,44
Imphal East,21,31,25,50,59,13,79
Imphal West,7,70,36,179,84,31,115
Jiribam,3,3,1,1,28,5,5
Kakching,0,7,1,11,9,19,33
Kamjong,1,1,1,1,2,0,2
Kangpokpi,7,7,6,7,8,1,9
Noney,3,3,1,1,3,1,5
Pherzawl,1,1,0,0,2,0,2
Senapati,14,14,11,18,14,10,24
Tamenglong,2,4,0,2,0,4,9
Tengnoupal,3,7,4,9,5,1,6
Thoubal,6,21,8,33,59,15,83
Ukhrul,3,6,4,7,9,8,17
