district,Bank Name,Export Credit,Education (PS),Housing (PS),Social,Renewable,Informal Credit,Total Other PS
Bishnupur,,0,1,5,0,0,1,7
Chandel,,0,0,1,0,0,0,1
Churachandpur,,0,2,46,0,0,0,48
Imphal East,,0,0,170,70,2,3,245
Imphal West,,0,32,316,1,4,5,358
Jiribam,,0,0,0,0,0,0,0
Kakching,,0,5,1,0,0,0,6
Kamjong,,0,0,0,0,0,0,0
Kangpokpi,,0,2,6,0,0,0,8
Noney,,0,0,2,0,0,0,2
PHERZAWAL,,0,0,0,0,0,0,0
Senapati,,0,11,16,3,0,0,30
Tamenglong,,0,3,3,0,0,0,6
Tengnoupal,,0,0,2,0,0,0,2
Thoubal,,0,2,31,1,0,27,61
Ukhrul,,0,1,3,0,0,0,4
