District,Bank Name,Agri (PS) Target,Agri (PS) Achieved,Agri(PS) Achv% Amt,Crop Loan Target,Crop Loan Achieved No.,Crop Loan Achv% Amt,Msme (PS) Target,Msme (PS) Achieved,Msme (PS) Achv% Amt,Other PS Target,Other PS Achieved,Other PS Achv% Amt,Total (PS) Target,Total (PS) Achieved,Total(PS ) Achv% Amt
Bishnupur,,10665,328,3.88,8189,165,7.02,1864,82,6.57,352,7,2.29,12881,417,4.22
Chandel,,928,7,0.03,335,3,0.3,131,62,1.06,93,1,0.22,1152,70,0.29
Churachandpur,,2592,270,21.82,2515,203,10.76,3184,210,12.86,606,48,2.13,6382,528,9.19
Imphal East,,17436,433,10.72,16365,30,1.18,1602,365,30.41,1025,245,5.48,20063,1043,17.05
Imphal West,,9136,1021,30.22,7664,128,3.95,5384,912,49.5,2559,358,4.84,17079,2291,29.86
Jiribam,,808,10,2.57,389,0,0,991,15,1.9,42,0,0,1841,25,1.97
Kakching,,3237,125,2.05,2775,1,0.01,208,154,33.37,254,6,0.63,3699,285,7.28
Kamjong,,391,0,0,142,0,0,82,1,0,12,0,0,485,1,0
Kangpokpi,,5227,62,3.49,4862,34,0.9,287,78,19.44,508,8,2.16,6022,148,7.08
Noney,,1459,1,0,1259,1,0.02,599,14,2.05,47,2,2.81,2105,17,0.73
Pherzawl,,50,0,0,45,0,0,8,0,0,4,0,0,62,0,0
Senapati,,3540,176,1.81,3089,166,1.76,823,198,17.42,250,30,4.58,4613,404,6
Tamenglong,,3094,1,0.1,1409,0,0,1251,47,18.27,65,6,15.88,4410,54,5.17
Tengnoupal,,9121,42,1.48,8584,29,1.11,272,101,6.27,123,2,1.47,9516,145,2.88
Thoubal,,5643,632,16.26,4025,490,22.34,2523,224,9.35,338,61,2.76,8504,917,10.4
Ukhrul,,1399,27,6.99,821,4,0.4,367,26,4.15,75,4,8.42,1841,57,5.83
