district,Inactive BCs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenticated SB accounts,RuPaycardissuedin KCC
Bishnupur,0,58945,26006,57359,706
Chandel,0,10006,7754,15951,89
Churachandpur,3,64104,49868,103426,902
Imphal East,5,98753,45664,137289,875
Imphal West,1208,137151,103406,312343,2559
Jiribam,0,19205,32,12,0
Kakching,0,41657,20915,37515,558
Kamjong,0,2339,2339,1874,0
Kangpokpi,0,19118,20046,35930,377
Noney,0,3290,3290,2774,3
Pherzawl,0,324,324,394,1
Senapati,1,41313,28685,40400,689
Tamenglong,2,32695,2193,1218,3
Tengnoupal,0,13424,7240,15049,28
Thoubal,1,63893,48736,69803,473
Ukhrul,0,35942,19133,19823,202
