district,SL.No.,Target for Individual Enterprises,Target for SHG Bank Linkage
AXIS BANK,1,8,7
BANK OF BARODA,2,12,8
BANK OF INDIA,3,3,3
Bishnupur,3,83,55
CANARA BANK,4,4,4
CENTRAL BANK OF INDIA,5,7,6
HDFC BANK,6,18,10
ICICI BANK,7,6,5
INDIAN BANK,8,3,4
INDIAN OVERSEAS BANK,9,2,2
Imphal East,2,21,10
Imphal West,1,99,80
Jiribam,6,10,5
Kakching,5,30,20
Name of Bank,SL.No.,Target for Individual Enterprises,Target for SHG Bank Linkage
PUNJAB & SIND BANK,11,4,4
PUNJAB NATIONAL BANK,12,26,20
Thoubal,4,63,43
UCO BANK,15,23,14
