district,Sishu O/S No,Amt,Sishu NPA No,Amt,Kishore O/S No,Amt,Kishore NPA No,Amt,Tarun O/S No,Amt,Tarun NPA No,Amt,Total MUDRA O/S No,Amt,Total MUDRA NPA No,Amt,MUDRA NPA Amt.%
AXIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANDHAN,8013,12.71,2,12.71,6595,12.71,2,12.71,1,12.71,0,12.71,14609,12.71,4,12.71,0.16
BOB,421,230.67,84,230.67,880,230.67,70,230.67,203,230.67,21,230.67,1504,230.67,175,230.67,9.15
BOI,140,118.84,23,118.84,410,118.84,41,118.84,112,118.84,10,118.84,662,118.84,74,118.84,9.22
BOM,54,9.44,9,9.44,11,9.44,0,9.44,18,9.44,1,9.44,83,9.44,10,9.44,5.82
CAN,422,586.25,81,586.25,613,586.25,133,586.25,214,586.25,35,586.25,1249,586.25,249,586.25,21.54
CBI,592,493.35,194,493.35,647,493.35,162,493.35,157,493.35,31,493.35,1396,493.35,387,493.35,22.05
HDFC,9842,41.45,48,41.45,1169,41.45,57,41.45,21,41.45,0,41.45,11032,41.45,105,41.45,1.81
ICICI,0,11.43,0,11.43,18,11.43,2,11.43,10,11.43,0,11.43,28,11.43,2,11.43,14.15
IDBI,32,32.87,0,32.87,207,32.87,17,32.87,46,32.87,4,32.87,285,32.87,21,32.87,6.36
IND,428,345.14,109,345.14,489,345.14,94,345.14,116,345.14,24,345.14,1033,345.14,227,345.14,19.15
INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IOB,40,0,0,0,135,0,0,0,54,0,0,0,229,0,0,0,0
MRB,8268,3902.46,3808,3902.46,5131,3902.46,1646,3902.46,202,3902.46,78,3902.46,13601,3902.46,5532,3902.46,39.57
MSCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NESFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNB,2289,1147.85,707,1147.85,2771,1147.85,711,1147.85,240,1147.85,43,1147.85,5300,1147.85,1461,1147.85,23.27
PSB,117,1.73,2,1.73,83,1.73,2,1.73,7,1.73,0,1.73,207,1.73,4,1.73,0.95
SBI,6494,3283.09,1634,3283.09,2700,3283.09,1187,3283.09,403,3283.09,140,3283.09,9597,3283.09,2961,3283.09,36.61
UCO,86,13.08,5,13.08,22,13.08,8,13.08,4,13.08,0,13.08,112,13.08,13,13.08,14.95
UNI,20,7.95,0,7.95,90,7.95,11,7.95,7,7.95,0,7.95,117,7.95,11,7.95,5.71
YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
