District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,O/S No.,ofwhichgirlstudent O/S No.,O/S amt,ofwhichgirlstudent O/S Amt
Bishnupur,0,0,0,0,1,1,4.11,4.11,20,7,93.38,28.04
Chandel,0,0,0,0,0,0,0,0,9,6,21.89,16.35
Churachandpur,1,1,0.5,0.5,5,3,7.45,3.07,68,37,139.13,51
Imphal East,1,0,1.67,1.67,5,3,54.32,42.85,122,57,625.84,300.78
Imphal West,8,2,14.89,2.39,22,10,72.5,34.08,493,224,2306.78,1094.2
Jiribam,0,0,0,0,0,0,0,0,1,1,0.47,0.47
Kakching,0,0,0,0,3,1,12.9,2.75,58,18,120.28,32.5
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,1,1,6.02,6.02,15,10,117.86,61.49
Noney,0,0,0,0,0,0,0,0,1,1,6.78,6.78
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,3,1,7.26,2.72,54,29,205.45,105.79
Tamenglong,2,2,2,2.06,3,2,2.56,2.06,7,5,12.45,6.34
Tengnoupal,0,0,0,0,0,0,0,0,3,1,20.15,14.42
Thoubal,1,1,1,3.05,2,1,7.37,3,27,11,117.81,62.21
Ukhrul,0,0,0,0,0,0,0,0,6,2,16.01,5.44
