district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligibleunder PMAY O/S No,Housing Loan Eligibleunder PMAY O/S Amount,Current Year Disbursedunder PMAY No,Current Year Disbursedunder PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bishnupur,345,3839.09,73,1729.97,3,46.72,21,213,0,0,21,213
Chandel,75,836.58,23,669.7,74,1298.54,0,0,0,0,0,0
Churachandpur,705,6546.77,199,5706.22,358,3765.46,147,1277.03,2,36,147,1277.03
Imphal East,816,8286.78,188,4698.07,432,7411.71,136,3224,3,96,138,3239.79
Imphal West,3463,36238.97,1138,28532.53,161,2352.4,212,2785.14,10,112.31,194,2394.03
Jiribam,8,77.58,1,3.29,8,77.58,8,77.58,2,45,8,77.58
Kakching,339,2864.07,85,2251.47,26,149.73,86,1246,3,38,86,1246
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,142,2070.44,48,1535.64,159,3171.78,0,0,0,0,0,0
Noney,0,0,1,21.12,1,21.12,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,195,2857.19,79,3524.47,259,5051.48,1,12.75,0,0,1,12.75
Tamenglong,3,13,5,73.61,0,0,2,35,0,0,2,35
Tengnoupal,65,852,22,698.02,62,1103.69,8,41,0,0,8,41
Thoubal,422,4180.59,138,2973.46,12,111.42,21,142,1,20,21,142
Ukhrul,13,106.41,3,48.96,0,0,1,15,0,0,1,15
