district,KCC issuedduringquarter (Includingrenewal),Total O/S KCC,Rupaycard Issued,KCC foranimalhusbandaryissuedduringquarter (Includingrenewal),AH Totalno. of KCC,AH Outstandingamount.,AH Numberofrupaycard Issued,AH Cardactivated,KCC for Fishriesissuedduringquarter (includingrenewal),Fishery Totalno. of KCC,Fishery Outstanding amount.,Fishery Numberofrupaycard Issued,Fishery Cardactivated
Bishnupur,12,5015,4677,1,229,210.56,178,178,23,214,264.44,131,116
Chandel,2,133,69,2,19,24.32,0,0,0,0,0,0,0
Churachandpur,179,1779,1454,0,137,304.93,9,9,0,22,42.24,0,0
Imphal East,28,3060,2558,2,385,182.52,368,367,3,7,16.55,4,4
Imphal West,117,13182,6856,81,449,336.85,303,303,21,67,122.92,34,34
Jiribam,0,69,0,0,0,0,0,0,0,0,0,0,0
Kakching,0,960,863,4,188,115.23,166,166,76,161,286.53,18,18
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,31,651,361,0,28,47.6,28,22,0,4,10.04,4,4
Noney,1,165,155,0,0,0,0,0,0,0,0,0,0
Pherzawl,1,6,1,0,0,0,0,0,0,0,0,0,0
Senapati,162,1652,667,5,42,19.99,0,0,0,0,2,0,0
Tamenglong,0,23,3,0,0,0,0,0,0,0,0,0,0
Tengnoupal,13,196,139,0,21,12.03,0,0,0,2,0.2,0,0
Thoubal,63,2859,2446,0,37,15.05,8,8,0,0,0,0,0
Ukhrul,4,534,239,0,4,6.15,0,0,0,1,1.52,0,0
