District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bishnupur,5,0,37,12.76,0,0,23,4.18,32.76
Chandel,3,0,3,1.1,0,0,0,0,0
Churachandpur,0,0,148,29.17,1,0.02,148,29.17,100
Imphal East,30,15,638,479.62,10,3.15,84,45.04,9.39
Imphal West,1,1,73,52.99,4,3.28,18,9.04,17.06
Jiribam,0,0,0,0,0,0,0,0,0
Kakching,6,0,9,4.28,0,0,1,0.2,4.67
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,10,0,15,16.05,2,1.52,1,0.99,6.17
Tamenglong,0,0,4,0.72,0,0,4,0.72,100
Tengnoupal,10,17.2,147,148.89,6,0.15,1,0.55,0.37
Thoubal,0,0,232,192.62,0,0,30,13.75,7.14
Ukhrul,5,0,9,10.16,0,0,4,0.46,4.53
