District,Enrolmentunder PMJJBY,eligible cases under PMJJBY,renewalsunder PMJJBY,Enrolmentunder PMSBY,eligible cases under PMSBY,renewalsunder PMSBY,Enrolmentunder APY,Total Enrolment No.
Bishnupur,3039,95930,1983,13152,139576,9272,814,17005
Chandel,868,21825,573,2837,33843,2236,94,3799
Churachandpur,6042,137233,4471,15209,201074,11509,941,22192
Imphal East,8827,157771,5706,32773,232234,20955,2882,44482
Imphal West,30620,359402,25086,71817,518919,55212,5408,107845
Jiribam,275,31672,221,637,39194,609,183,1095
Kakching,2624,68995,1302,16141,100850,10764,429,19194
Kamjong,34,2166,28,528,3739,324,13,575
Kangpokpi,1941,14798,1715,4642,27168,3824,357,6940
Noney,437,4046,312,963,5934,793,65,1465
Pherzawl,57,458,23,404,693,188,0,461
Senapati,3599,81279,2220,11202,120502,8972,397,15198
Tamenglong,238,42779,172,1402,53823,1032,165,1805
Tengnoupal,1755,25503,884,4464,35972,2831,114,6333
Thoubal,3093,94722,2285,15163,142066,9811,997,19253
Ukhrul,1649,82503,1032,3504,117869,2586,288,5441
