district,Bank Name,Micro No,Amt,Small No,Amt,Medium No,Amt,Other MSME No,Amt,MSME Total O/S No,Amt
Bishnupur,,7203,5256.63,117,5256.63,19,5256.63,320,5256.63,7659,5256.63
Chandel,,403,496.82,3,496.82,0,496.82,58,496.82,464,496.82
Churachandpur,,2020,4812.21,144,4812.21,53,4812.21,268,4812.21,2485,4812.21
Imphal East,,12445,14361.44,361,14361.44,53,14361.44,187,14361.44,13046,14361.44
Imphal West,,21751,69732.71,1264,69732.71,196,69732.71,1675,69732.71,24886,69732.71
Jiribam,,4003,1473.79,65,1473.79,0,1473.79,0,1473.79,4068,1473.79
Kakching,,6538,4999.64,383,4999.64,0,4999.64,56,4999.64,6977,4999.64
Kamjong,,91,92.13,0,92.13,0,92.13,1,92.13,92,92.13
Kangpokpi,,842,2190.98,32,2190.98,0,2190.98,6,2190.98,880,2190.98
Noney,,414,404.77,0,404.77,0,404.77,4,404.77,418,404.77
PHERZAWAL,,10,14.6,0,14.6,0,14.6,0,14.6,10,14.6
Senapati,,1592,3620.41,164,3620.41,1,3620.41,15,3620.41,1772,3620.41
Tamenglong,,616,754.31,81,754.31,0,754.31,0,754.31,697,754.31
Tengnoupal,,718,851.07,119,851.07,0,851.07,52,851.07,889,851.07
Thoubal,,9186,7394.85,84,7394.85,21,7394.85,175,7394.85,9466,7394.85
Ukhrul,,886,1394.28,92,1394.28,5,1394.28,11,1394.28,994,1394.28
