District,KCCsfor AH and No.,Amt,Farm No.,Dairy No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri No.
Bishnupur,33,120.94,0,0,18,22,0,0,122,195
Chandel,3,0.2,2,0,3,0,0,0,0,8
Churachandpur,133,19.01,0,0,6,9,0,0,4,152
Imphal East,21,118.01,3,0,15,9,0,0,24,72
Imphal West,32,741.33,8,2,78,28,0,1,256,405
Jiribam,0,0,0,0,0,0,0,0,0,0
Kakching,16,57.45,0,0,9,21,0,0,0,46
Kamjong,0,0,0,0,0,0,0,0,0,0
Kangpokpi,4,99.08,2,0,4,2,0,0,25,37
Noney,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,1,0.34,0,3,0,0,0,0,0,4
Tamenglong,0,1,0,0,0,0,0,0,1,1
Tengnoupal,1,8,0,0,0,0,0,0,4,5
Thoubal,50,252.04,2,36,27,9,0,0,23,147
Ukhrul,4,12.5,0,0,2,1,0,0,3,10
