District,Agri (PS) Total O/S No.,Agri (PS) Total O/S Amt,MSME (PS) Total O/S No.,MSME (PS) Total O/S Amt,Other PS Total O/S No.,Other PS Total O/S Amt,Total PS O/S No.,Total PS O/S Amt
Bishnupur,8834,7067.46,7659,5256.63,600,3840.87,17093,16164.96
Chandel,166,136.95,464,496.82,81,656.03,711,1289.8
Churachandpur,3547,3003.09,2485,4812.21,1215,6050.33,7247,13865.63
Imphal East,7478,7427.73,13046,14361.44,8419,12102.48,28943,33891.65
Imphal West,19669,28307.54,24886,69732.71,9834,38933.03,54389,136973.28
Jiribam,946,292.89,4068,1473.79,9,78.06,5023,1844.74
Kakching,2100,1572.33,6977,4999.64,506,2025.01,9583,8596.98
Kamjong,0,0,92,92.13,0,0,92,92.13
Kangpokpi,890,833.81,880,2190.98,120,636.5,1890,3661.29
Noney,447,293.4,418,404.77,1,6.78,866,704.95
Pherzawl,6,4.09,10,14.6,0,0,16,18.69
Senapati,2074,1345.53,1772,3620.41,393,2233.23,4239,7199.17
Tamenglong,232,148.91,697,754.31,13,89.05,942,992.27
Tengnoupal,936,972.02,889,851.07,89,728.21,1914,2551.3
Thoubal,10381,9543.96,9466,7394.85,3863,4831.64,23710,21770.45
Ukhrul,809,789.3,994,1394.28,164,138.69,1967,2322.27
