District,Christians No.,Christia Ns Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhis Ts Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zorastri Ans Amt,Jains No.,Jains Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bishnupur,298,63.91,82,21.07,2,0,7,2.9,0,0,0,0,389,87.88
Chandel,2725,60.79,96,0.16,1,0,0,0,0,0,0,0,2822,60.95
Churachandpur,5826,1380.54,158,133.14,5,0,6,0,0,0,0,0,5995,1513.68
Imphal East,2040,534.16,876,29.13,4,0,5,0,0,0,0,0,2925,563.29
Imphal West,3751,1551.33,1745,324.04,5,0,20,277.54,0,0,3,34.5,5524,2187.41
Jiribam,16,10.8,25,15.78,0,0,0,0,0,0,0,0,41,26.58
Kakching,160,70.52,116,7.04,1,0,4,0,0,0,0,0,281,77.56
Kamjong,181,0.01,9,0,2,0,1,0,0,0,0,0,193,0.01
Kangpokpi,967,99.7,46,124.79,0,0,0,0,0,0,0,0,1013,224.49
Noney,254,11.44,5,0,0,0,2,0,0,0,0,0,261,11.44
Pherzawl,83,10,6,0,0,0,0,0,0,0,0,0,89,10
Senapati,7615,510.52,81,3.41,9,0,3,0,2,0,0,0,7710,513.93
Tamenglong,69,155.17,1,2.5,0,0,0,0,0,0,0,0,70,157.67
Tengnoupal,1221,69.87,116,0.97,5,0,0,0,0,0,0,0,1342,70.84
Thoubal,161,118.05,787,42.98,0,0,2,0,2,6,0,0,952,167.03
Ukhrul,989,159.06,9,0.2,0,0,0,0,1,0,0,0,999,159.26
