District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Bishnupur,0,0,20,91.72,312,3264.06,0,0,0,0,268,485.09,600,3840.87
Chandel,0,0,9,21.89,58,599.26,0,0,0,0,14,34.88,81,656.03
Churachandpur,0,0,68,139.12,672,5778.35,3,33.85,0,0,472,99.01,1215,6050.33
Imphal East,0,0,113,501.33,2686,9815.28,625,170.38,791,650.73,4204,964.76,8419,12102.48
Imphal West,0,0,498,2206.65,5187,28387.72,5,384.19,895,6556.27,3249,1398.2,9834,38933.03
Jiribam,0,0,1,0.48,8,77.58,0,0,0,0,0,0,9,78.06
Kakching,0,0,58,120.28,276,1835.24,1,1.73,0,0,171,67.76,506,2025.01
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,9,88.05,38,441.15,0,0,0,0,73,107.3,120,636.5
Noney,0,0,1,6.78,0,0,0,0,0,0,0,0,1,6.78
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,60,229.16,142,1947.55,5,30.58,0,0,186,25.94,393,2233.23
Tamenglong,0,0,7,12.46,6,76.59,0,0,0,0,0,0,13,89.05
Tengnoupal,0,0,3,20.15,53,671.25,0,0,1,1.51,32,35.3,89,728.21
Thoubal,0,0,27,105.55,410,3847.51,140,42.12,0,0,3286,836.46,3863,4831.64
Ukhrul,0,0,6,16.01,11,80.82,0,0,0,0,147,41.86,164,138.69
