district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,31,12.32,31,52.31,3,23.45,65,88.08
Chandel,11,4.95,1,1,0,0,12,5.95
Churachandpur,7,1.9,20,47.75,9,68.41,36,118.06
Imphal East,163,41.18,86,96.01,45,172.56,294,309.75
Imphal West,338,83.93,476,524.25,61,381.15,875,989.33
Jiribam,26,9.75,143,122.3,0,0,169,132.05
Kakching,22,6.55,23,28.12,11,44.2,56,78.87
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,5,1.4,22,41.68,4,25.7,31,68.78
Noney,2,0.91,5,8.5,0,0,7,9.41
PHERZAWAL,0,0,0,0,0,0,0,0
Senapati,8,1.9,24,62.38,6,25.9,38,90.18
Tamenglong,2,1,16,24.47,1,2,19,27.47
Tengnoupal,35,16.4,32,47.29,2,14.5,69,78.19
Thoubal,92,26.47,43,62.17,17,97.71,152,186.35
Ukhrul,3,1.5,5,4,1,2.84,9,8.34
