district,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Bishnupur,164626,101627,101613
Chandel,36628,20063,17679
Churachandpur,240334,156781,110221
Imphal East,326336,212487,165564
Imphal West,766066,465734,418913
Jiribam,73773,28110,14
Kakching,114673,75088,53305
Kamjong,5126,1453,2087
Kangpokpi,88473,36628,40772
Noney,7285,2123,1990
Pherzawl,853,352,511
Senapati,121226,42689,42264
Tamenglong,54977,33476,3178
Tengnoupal,40807,24140,17989
Thoubal,192483,117968,69644
Ukhrul,128843,62786,28708
