district,CY Disburse ment No.,CY Disburse ment Amt.,Outstand ing No.,Outstand ing Amt.
Bishnupur,35,126.25,83,251.7
Chandel,0,0,1,0.85
Churachandpur,4,22.1,46,72.49
Imphal East,147,302.22,3203,1584.86
Imphal West,144,390.3,4848,1349.09
Jiribam,0,0,0,0
Kakching,44,79.73,44,79.73
Kamjong,0,0,0,0
Kangpokpi,0,0,40,68.94
Noney,0,0,0,0
PHERZAWAL,0,0,0,0
Senapati,0,0,10,13.02
Tamenglong,0,0,0,0
Tengnoupal,0,0,1,0.66
Thoubal,33,94.49,604,730.65
Ukhrul,3,0.7,15,27.99
