District,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bishnupur,2,0.95,4,5.2,663,1140.1,371,620.49,54.42
Chandel,0,0,1,0.87,227,345.73,104,137.23,39.69
Churachandpur,15,34.02,21,25.84,510,946.63,195,264.72,27.96
Imphal East,14,26.45,35,69.66,882,2854.8,350,962.99,33.73
Imphal West,9,21.53,55,159.89,1038,3594.52,473,1382.54,38.46
Jiribam,0,0,0,0,31,59.19,4,9.22,15.58
Kakching,2,7.6,4,8.11,271,466.74,157,273.63,58.63
Kamjong,0,0,0,0,48,86.32,16,27.89,32.31
Kangpokpi,4,11.02,12,34.03,165,594.72,48,143.04,24.05
Noney,0,0,0,0,34,66.21,22,41.87,63.24
Pherzawl,5,14.25,5,14.25,10,22.71,3,5.8,25.54
Senapati,2,5.59,5,15.72,724,1203.61,380,519.88,43.19
Tamenglong,0,0,0,22.7,290,356.75,114,136.42,38.24
Tengnoupal,0,0,4,2.46,85,117.76,35,40.19,34.13
Thoubal,9,2.46,14,8.24,599,1631.59,172,302.69,18.55
Ukhrul,1,0.95,3,2.15,411,581.02,233,352.2,60.62
