district,BankName,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Bishnupur,,39,1,27,1,306,107,21.69
Chandel,,37,0,37,0,3,0,0
Churachandpur,,777,0,777,0,177,158,58
Imphal East,,78,11,66,11,355,53,16.33
Imphal West,,731,4,729,4,373,87,22.81
Jiribam,,0,0,0,0,1,1,100
Kakching,,2,0,2,0,35,23,54.94
Kamjong,,107,0,107,0,0,0,0
Kangpokpi,,103,0,53,0,37,0,0
Noney,,8,0,8,0,70,34,43.49
PHERZAWAL,,3,0,3,0,0,0,0
Senapati,,261,0,261,0,49,9,21.61
Tamenglong,,13,0,13,0,9,8,25.6
Tengnoupal,,135,20,135,20,71,4,3.44
Thoubal,,335,2,429,2,311,123,32.79
Ukhrul,,1,0,1,0,85,65,32.68
