District,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,3578218,156815.53,40,6542.67,0,0,421595,97486.57,64863,3549.2,49622,633.71
Chandel,44579,829.05,1,2627.4,0,0,2473,195.85,8988,324.2,20724,278.93
Churachandpur,33806643,1428469.74,133,9501.58,3,0.22,5716613,1612096.14,99111,4787.08,86034,1181.31
Imphal East,86480265,3173173.81,858,16553.55,3,0.07,7472328,1863539.37,184760,10456.78,160935,2148.6
Imphal West,144103279,6014712.26,13316,33920.46,47,2.1,21376444,5966563.95,594028,28975.01,346058,4775.69
Jiribam,159424,3792.41,45,2.21,0,0,11312,2499.35,41321,1484.32,0,0
Kakching,157056,2963.4,81,4352.4,0,0,5755,525.35,38366,1587.83,33887,423.37
Kamjong,0,0,0,454.12,0,0,0,0,0,0,1997,36.79
Kangpokpi,6749,585.22,781,2806.46,0,0.04,3717,1246.48,9520,548.46,23866,341.37
Noney,0,0,0,983.57,0,0,0,0,0,0,3645,55.34
Pherzawl,0,0,0,50.74,0,0,0,0,0,0,206,2.77
Senapati,25587763,1109691.72,3,8401.43,2,0.01,2871409,756198.78,19351,879.07,67168,859.39
Tamenglong,182579,3945.14,68,139.9,0,0,3368,652.69,56438,2048.52,367,6.09
Tengnoupal,40524,1481.82,1,2421.93,0,0,3232,855.35,23384,1190.04,16436,244.63
Thoubal,67059922,2826657.42,1733,8081.02,11,0.18,6359376,1800698.03,93706,3455.52,51071,684.97
Ukhrul,190888,4372.22,144,3106.63,0,0,7408,1036.08,50927,2188.51,25242,375.7
