district,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregul ar A/C No,NRLM Irregul ar A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEG P O/S No.,PMEG P O/S Amt.,PMEG P NPA NO,PMEG P NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Bishnupur,37,12.76,0,0,23,4.18,4,0.56,4,0.56,663,1140.1,371,620.49,306,242.67,107,52.64,0,0,0,0
Chandel,3,1.1,0,0,0,0,0,0,0,0,227,345.73,104,137.23,3,1.1,0,0,0,0,0,0
Churachandpur,148,29.17,1,0.02,148,29.17,7,2.11,7,2.11,510,946.63,195,264.72,177,55.6,158,32.25,26,325.01,0,0
Imphal East,638,479.62,10,3.15,84,45.04,0,0,0,0,882,2854.8,350,962.99,355,325.76,53,53.2,34,252.89,4,71.45
Imphal West,73,52.99,4,3.28,18,9.04,226,234.08,33,11.44,1038,3594.5,473,1382.5,373,352.8,87,80.49,145,1481.1,29,390.87
Jiribam,0,0,0,0,0,0,1,0.32,1,0.32,31,59.19,4,9.22,1,0.32,1,0.32,0,0,0,0
Kakching,9,4.28,0,0,1,0.2,1,0.33,1,0.33,271,466.74,157,273.63,35,28.14,23,15.46,3,22.98,1,1
Kamjong,0,0,0,0,0,0,0,0,0,0,48,86.32,16,27.89,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,165,594.72,48,143.04,37,40.26,0,0,5,5.87,0,0
Noney,0,0,0,0,0,0,0,0,0,0,34,66.21,22,41.87,70,64.75,34,28.16,0,0,0,0
PHERZAWAL,0,0,0,0,0,0,0,0,0,0,10,22.71,3,5.8,0,0,0,0,0,0,0,0
Senapati,15,16.05,2,1.52,1,0.99,1,0.84,0,0,724,1203.6,380,519.88,49,41.13,9,8.89,27,377.21,0,0
Tamenglong,4,0.72,0,0,4,0.72,4,0.24,4,0.24,290,356.75,114,136.42,9,3.75,8,0.96,0,0,0,0
Tengnoupal,147,148.89,6,0.15,1,0.55,0,0,0,0,85,117.76,35,40.19,71,135.59,4,4.67,1,1.14,0,0
Thoubal,232,192.62,0,0,30,13.75,4,0.96,4,0.96,599,1631.6,172,302.69,311,263.9,123,86.54,18,102.93,1,17.77
Ukhrul,9,10.16,0,0,4,0.46,65,6.99,59,6.76,411,581.02,233,352.2,85,29.9,65,9.77,1,31.34,0,0
