District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,8638,51016,26726,41732,68458,9239,11986.26,45994,31928,42179
Chandel,13641,0,6222,7416,13638,1098,5380.16,13159,8258,8266
Churachandpur,81452,528,37383,46514,83897,8042,10797.27,68633,49205,49777
Imphal East,50964,66603,49143,69998,119141,14226,5864.79,82696,56321,84615
Imphal West,38619,153572,85582,121429,207011,29985,16054.77,165875,119650,167090
Jiribam,17746,0,7407,10316,17723,2697,380.61,7811,7811,15068
Kakching,406,44654,20883,29325,50208,5978,5177.04,30866,25645,32604
Kamjong,2119,0,1043,1074,2117,59,75.17,2530,1641,582
Kangpokpi,22431,966,11686,11752,23438,1901,3289.49,15228,12622,8599
Noney,3432,0,1775,1656,3431,74,152.83,4086,2826,1425
Pherzawl,172,0,88,84,172,6,10.77,214,144,142
Senapati,45619,0,21102,24656,45758,1526,6218.71,45625,28624,19549
Tamenglong,2150,22667,13234,11539,24773,7116,889.93,11662,11206,13815
Tengnoupal,5392,5843,6093,7579,13672,1668,2226.25,12454,7805,9714
Thoubal,14101,68037,39811,43375,83186,11349,1470.78,69006,58210,42540
Ukhrul,1188,60835,31885,32043,63928,14414,4670.16,30597,25941,26434
