District,Micro Tl No.,Amt,Micro Wc No.,Small Tl No.,Small Wc No.,Medium Tl No.,Medium Wc No.,KVIC Tl No.,KVIC Wc No.,Othersunder No.,Tot Msme (PS) Disb No.
Bishnupur,53,213.28,19,10,0,0,0,0,0,0,82
Chandel,48,13.83,14,0,0,0,0,0,0,0,62
Churachandpur,113,695.36,81,7,3,0,0,3,0,3,210
Imphal East,289,2346.99,41,23,5,3,0,1,0,3,365
Imphal West,463,9658.62,164,149,71,17,5,12,2,29,912
Jiribam,15,50.54,0,0,0,0,0,0,0,0,15
Kakching,121,655.37,12,15,4,0,0,2,0,0,154
Kamjong,1,0.01,0,0,0,0,0,0,0,0,1
Kangpokpi,57,259.38,11,1,0,0,0,5,0,4,78
Noney,7,16.94,7,0,0,0,0,0,0,0,14
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,141,310.87,36,17,4,0,0,0,0,0,198
Tamenglong,23,134.11,22,2,0,0,0,0,0,0,47
Tengnoupal,54,90.53,46,0,0,0,0,0,0,1,101
Thoubal,193,448.95,20,9,1,0,0,0,0,1,224
Ukhrul,18,39.51,8,0,0,0,0,0,0,0,26
