district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillaryy No,Ancillaryy Amt,Agri Total O/S No.,Agri Total O/S Amount
Bishnupur,5130,2105.32,3413,4844.27,8,21.97,283,95.9,8834,7067.46
Chandel,151,103.52,15,33.43,0,0,0,0,166,136.95
Churachandpur,1809,944.18,1713,2010.61,0,0,25,48.3,3547,3003.09
Imphal East,2847,1494.85,3583,4661.1,11,13.33,1037,1258.45,7478,7427.73
Imphal West,11976,7750.13,5828,13409.35,26,2439.47,1839,4708.59,19669,28307.54
Jiribam,72,28.62,301,95.86,7,1.84,566,166.57,946,292.89
Kakching,797,331.92,1266,1190.78,11,8.28,26,41.35,2100,1572.33
Kamjong,0,0,0,0,0,0,0,0,0,0
Kangpokpi,630,349.95,195,364.82,2,0.45,63,118.59,890,833.81
Noney,165,95.44,247,170.98,0,0,35,26.98,447,293.4
Pherzawl,6,4.09,0,0,0,0,0,0,6,4.09
Senapati,1838,968.61,141,211.86,1,1.42,94,163.64,2074,1345.53
Tamenglong,98,61.19,102,62.77,1,0.09,31,24.86,232,148.91
Tengnoupal,241,159.01,685,803.73,0,0,10,9.28,936,972.02
Thoubal,2601,1180.36,7416,8056.84,11,6.67,353,300.09,10381,9543.96
Ukhrul,570,333.51,178,368.78,2,8.57,59,78.44,809,789.3
