District,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Bishnupur,9562,7670.97,139,218.04
Chandel,1241,4036.99,50,11.32
Churachandpur,5059,9745.16,363,531.93
Imphal East,23823,25476.52,776,954.09
Imphal West,47424,86018.69,2449,4101.76
Jiribam,4843,1646.48,92,78.9
Kakching,7272,4577.3,168,142.7
Kamjong,62,77.37,0,0
Kangpokpi,1050,2215.65,223,272.9
Noney,425,375.74,11,14.27
Pherzawl,6,7.78,0,0
Senapati,4033,10328.8,217,252.36
Tamenglong,771,834.1,19,32.78
Tengnoupal,874,1675.11,66,41.89
Thoubal,13931,10240.89,529,573.4
Ukhrul,1615,2972.15,38,79.72
