district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,0.00,0,0.00,0,0.61,1,5.77,10.57,3
Changlang,0.00,0,2.50,1,4.89,3,12.23,39.99,12
East Kameng,8.65,1,9.50,1,5.10,2,22.59,22.58,4
East Siang,5.91,1,12.07,2,30.96,17,56.29,55.00,24
Kamle,4.09,1,48.26,6,40.82,10,67.48,60.49,15
Kra Daadi,8.60,1,9.00,1,66.93,15,57.87,115.66,25
Kurung Kumey,38.63,2,38.00,2,78.35,29,58.21,134.60,39
Leparada,23.80,2,48.45,6,8.16,2,7.84,104.06,16
Lohit,8.12,5,24.26,5,6.87,3,35.47,19.37,10
Longding,0.00,0,11.40,2,4.38,2,10.60,41.33,7
Lower Dibang Valley,6.12,1,18.47,3,1.69,2,9.06,18.65,6
Lower Siang,39.46,3,46.08,6,16.80,2,15.78,106.47,11
Lower Subansiri,170.92,10,195.36,12,42.66,22,17.59,242.52,55
Namsai,7.54,1,15.52,4,1.34,11,0.70,191.85,76
Papum Pare,1091.88,121,1101.03,115,333.63,121,13.21,2524.81,429
Shi Yomi,0.00,0,0.00,0,15.74,7,57.30,27.47,9
Siang,0.00,0,38.76,5,28.21,8,54.07,52.17,12
Tawang,44.05,6,51.53,6,10.56,2,14.05,75.17,20
Tirap,8.29,3,0.00,0,3.84,4,21.46,17.89,10
Upper Siang,0.00,0,0.00,0,4.56,2,13.05,34.94,9
Upper Subansiri,39.35,4,45.79,4,84.32,20,42.18,199.90,36
West Kameng,46.61,15,97.22,10,2.88,7,0.76,378.69,74
West Siang,4.08,1,86.90,9,57.96,13,37.63,154.02,30
