district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Changlang,3.00,2,0.00,0,0.00,0,0.00,3.01,2
East Siang,45.97,32,15.36,5,0.00,0,0.00,64.05,40
Kra Daadi,44.24,21,9.36,22,0.00,0,0.00,67.93,55
Kurung Kumey,0.00,0,0.00,0,0.00,0,0.00,4.32,2
Leparada,31.25,15,0.00,0,0.00,0,0.00,30.81,18
Lohit,78.51,29,1.02,1,0.00,0,0.00,89.20,49
Lower Dibang Valley,1.50,1,2.03,2,0.00,0,0.00,18.67,17
Lower Siang,23.51,15,0.00,0,0.00,0,0.00,33.09,20
Lower Subansiri,174.27,86,10.70,7,0.45,1,0.16,282.46,139
Namsai,275.30,68,3.81,3,0.00,0,0.00,164.37,79
Papum Pare,172.29,78,27.05,18,12.93,15,4.60,281.28,191
Siang,9.31,6,0.00,0,0.00,0,0.00,14.58,16
Tawang,8.77,5,0.99,2,0.00,0,0.00,16.69,14
Tirap,0.03,1,0.00,0,0.00,0,0.00,0.62,1
Upper Subansiri,35.76,21,6.58,4,3.71,2,4.26,87.19,72
West Kameng,4.39,2,0.29,1,0.00,0,0.00,11.15,6
West Siang,31.48,32,0.22,1,0.00,0,0.00,33.69,45
