district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,156.39,907,701,804,1403,47,360,1608,1608,0
Changlang,1707.28,25870,21151,14784,42778,2747,13280,46337,47021,690
Dibang Valley,217.43,224,262,258,351,26,18,456,486,30
East Kameng,771.77,8039,6570,7345,10475,1184,5351,4366,14609,10246
East Siang,2956.96,34939,29591,23911,47215,9516,12994,41224,64530,23638
Kamle,99.88,859,533,802,1230,17,56,1392,1392,0
Kra Daadi,220.34,1845,1112,1372,3396,29,554,2959,2957,0
Kurung Kumey,382.47,2059,1760,1326,3300,556,1147,2941,3819,881
Leparada,314.00,1695,1579,927,2255,304,1464,2805,3274,472
Lohit,498.34,6422,4994,5688,9816,979,4305,4397,11416,7021
Longding,457.58,7098,3588,5877,9974,278,3269,10687,10686,0
Lower Dibang Valley,700.81,7570,6758,7581,12916,1160,3620,4000,14328,10328
Lower Siang,710.56,19424,18869,13052,16391,10444,11435,38295,38293,0
Lower Subansiri,1174.27,6539,5251,4595,10323,565,4169,6225,11790,5571
Namsai,1370.95,13029,11581,20939,21873,1883,6800,13691,24610,16533
Papum Pare,3417.27,32648,27128,29533,50334,4993,26525,28115,59776,26536
Shi Yomi,324.16,833,740,518,1809,124,481,1573,1573,0
Siang,530.06,2291,2622,1925,3627,138,2952,4915,4913,0
Tawang,695.48,2343,2687,2707,4052,344,1696,3907,5030,1124
Tirap,1000.09,8783,6175,7220,14533,663,4923,14964,14958,0
Upper Siang,457.41,2395,2086,3029,2069,223,826,4243,4481,238
Upper Subansiri,1611.17,10716,9263,9108,17707,2110,6439,5192,19979,14800
West Kameng,1358.49,8259,6972,7219,12155,848,4228,15187,15231,46
West Siang,1371.81,8210,8288,7157,10413,1234,3973,4322,16498,10034
