district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,2,0,0,7,2,9,2,0,0,2,2
Changlang,13,1,0,65,12,77,10,2,0,14,12
Dibang Valley,1,0,0,1,0,1,1,1,0,1,2
East Kameng,0,10,0,22,11,33,1,7,0,10,8
East Siang,5,15,0,85,28,113,7,11,0,20,18
Kamle,0,0,0,2,0,2,1,0,0,0,1
Kra Daadi,3,0,0,5,2,7,2,0,0,3,2
Kurung Kumey,1,0,0,2,3,5,1,3,0,1,4
Leparada,1,1,0,9,1,10,2,2,0,2,4
Lohit,1,13,0,19,1,20,3,5,0,14,8
Longding,4,0,0,11,1,12,3,0,0,4,3
Lower Dibang Valley,1,11,0,64,7,71,3,6,0,12,9
Lower Siang,3,0,0,28,17,45,4,0,0,3,4
Lower Subansiri,5,14,0,39,2,41,5,10,0,19,15
Namsai,6,6,0,42,11,53,7,5,0,12,12
Papum Pare,12,113,0,99,633,732,18,47,0,125,65
Shi Yomi,1,4,0,4,1,5,1,5,0,5,6
Siang,1,0,0,9,0,9,4,0,0,1,4
Tawang,4,13,0,25,1,26,5,6,0,17,11
Tirap,4,0,0,18,5,23,3,2,0,4,5
Upper Siang,3,1,0,12,1,13,5,2,0,4,7
Upper Subansiri,3,6,0,13,2,15,6,2,0,9,8
West Kameng,27,1,0,41,2,43,16,1,0,28,17
West Siang,3,14,0,31,10,41,3,7,0,17,10
