district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,7,0.97,739208,10930.71,3,0.05,0,0.00,4631,143.27
Changlang,81,11.39,524,18.18,8408103,118120.21,4557,257.01,603,17167.31,70892,1968.50
Dibang Valley,0,0.00,0,0.00,378993,6731.68,913,51.54,1,0.00,5114,226.74
East Kameng,399,85.73,910,5.79,3727260,66335.87,22954,3493.13,1615,238608.55,28786,1017.48
East Siang,1853,1730.32,2955,26.16,12185962,188562.70,62878,4504.39,67283,344231.55,93113,2363.02
Kamle,0,0.00,0,0.00,690576,9042.10,5,0.08,0,0.00,5232,171.99
Kra Daadi,0,0.00,0,0.00,865404,16158.55,592,26.49,0,0.00,11809,407.37
Kurung Kumey,0,0.00,4,0.85,649104,13286.23,6382,467.50,2,0.00,8030,327.65
Leparada,0,0.00,9,30.21,2057281,29805.48,2247,151.04,2,0.00,19015,577.20
Lohit,343,325.95,37,52.02,4357818,66078.85,5752,789.95,7296,1747.95,39837,1072.61
Longding,0,0.00,0,0.00,2739073,40493.11,356,8.95,1,0.00,24756,763.72
Lower Dibang Valley,231,337.95,953,10.27,4207054,67577.17,25522,1260.40,29250,5340.48,37532,1044.91
Lower Siang,0,0.00,0,0.00,2297582,32220.77,1417,56.15,0,0.00,25738,751.71
Lower Subansiri,602,800.75,502,0.00,6375149,111756.05,10893,1905.90,9505,201534.29,58623,1724.51
Namsai,1729,2572.45,14413,61.54,3966667,69468.25,9357,1501.18,9655,113628.60,63688,1448.04
Papum Pare,11041,9726.89,81020,2235.78,39680905,795266.48,470990,29863.50,537286,2874827.14,548062,17902.90
Shi Yomi,0,0.00,0,0.00,322186,4302.82,654,38.59,1,0.00,6037,201.90
Siang,0,0.00,0,0.00,1174174,13845.84,449,19.58,8,0.05,9615,239.82
Tawang,527,465.59,229,2.57,3146793,72784.85,15742,1123.86,13839,3016.70,46662,1741.37
Tirap,0,0.00,5,0.70,3607800,55259.15,1747,95.16,22,1.40,56295,1459.45
Upper Siang,0,0.00,3,9.66,1928823,31595.82,4241,318.25,2,0.00,15405,451.52
Upper Subansiri,0,0.00,5,0.31,4394908,67491.00,17978,1059.12,526,1055.56,38661,1373.04
West Kameng,748,436.34,8,8.89,8149496,149402.65,4726,789.28,2115,151939.55,141400,3867.88
West Siang,546,111.52,14,13.51,7355493,116069.06,45437,2199.55,12241,349084.52,61670,1577.38
