district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,6645,992,1,992,6
Changlang,65661,15828,5,16076,42
Dibang Valley,4749,130,0,131,33
East Kameng,51112,5488,1,6535,27
East Siang,45605,14897,16,15709,220
Kamle,4451,195,3,195,4
Kra Daadi,5159,1085,0,1085,28
Kurung Kumey,22479,1233,0,1524,55
Leparada,13385,1739,0,1878,47
Lohit,29254,5987,4,6256,205
Longding,15477,5304,2,5304,21
Lower Dibang Valley,30333,4498,26,4614,176
Lower Siang,6507,13056,16,13056,10
Lower Subansiri,34058,5122,1,5832,355
Namsai,43662,6897,1,7869,453
Papum Pare,160709,19247,179,26765,2866
Shi Yomi,6432,708,0,743,0
Siang,4206,3130,1,3130,1
Tawang,27538,1278,7,3102,61
Tirap,31872,5881,1,6457,24
Upper Siang,22991,1010,3,1066,61
Upper Subansiri,40264,6736,2,8296,100
West Kameng,43582,5352,11,6514,222
West Siang,29934,5424,3,6526,41
