district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,0.02,1,0,0.00,46.20,0.00,0,0.00,1.27,3,46.20,138,138
Changlang,1.65,6,0,0.00,184.36,0.00,0,0.00,6.78,7,184.36,1173,1173
Dibang Valley,0.00,0,0,0.00,22.93,0.00,0,0.00,0.00,0,22.93,27,27
East Kameng,3.09,1,0,0.00,27.01,0.00,0,0.00,9.21,3,27.37,196,190
East Siang,44.83,36,21,24.97,15.34,0.00,0,0.00,74.37,48,19.29,51,35
Kamle,0.00,0,0,0.00,6.68,0.00,0,0.00,0.00,0,6.68,72,72
Kra Daadi,18.11,13,2,7.60,151.76,0.00,0,0.00,22.62,18,151.76,212,212
Kurung Kumey,14.39,3,0,0.00,8.98,0.00,0,0.00,26.52,15,8.98,124,124
Leparada,38.26,21,14,29.50,39.55,0.00,0,0.00,38.77,27,39.55,88,87
Lohit,88.68,36,9,17.87,50.47,0.00,0,0.00,102.11,54,53.58,155,142
Longding,0.00,0,0,0.00,47.43,0.00,0,0.00,0.11,1,47.43,451,451
Lower Dibang Valley,3.65,3,0,0.00,2.97,0.00,0,0.00,33.45,27,8.20,26,12
Lower Siang,23.49,16,11,18.82,4.02,0.00,0,0.00,31.38,21,42.52,23,14
Lower Subansiri,162.64,87,64,114.65,3.66,0.45,1,0.15,293.69,147,3.79,61,57
Namsai,300.58,87,14,51.40,5.27,0.00,0,0.00,286.75,195,5.87,103,48
Papum Pare,194.53,107,43,104.68,66.00,16.00,16,4.80,333.02,223,71.81,416,337
Shi Yomi,0.00,0,0,0.00,0.18,0.00,0,0.00,0.00,0,0.18,4,4
Siang,14.03,11,5,8.26,29.44,0.00,0,0.00,37.38,28,29.44,105,105
Tawang,0.00,0,0,0.00,110.66,0.00,0,0.00,4.80,6,110.71,254,249
Tirap,0.00,0,0,0.00,124.35,0.00,0,0.00,0.00,0,124.35,728,728
Upper Siang,0.00,0,0,0.00,48.59,0.00,0,0.00,2.56,2,48.59,45,45
Upper Subansiri,34.62,23,17,26.02,37.93,3.71,2,3.45,107.68,79,37.98,239,231
West Kameng,68.40,32,0,0.00,250.77,8.18,1,7.82,104.60,47,251.76,413,401
West Siang,19.92,31,22,13.33,2.27,0.00,0,0.00,22.57,40,2.64,35,19
