district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Anjaw,6146,4472,13203
Changlang,56953,63906,129892
Dibang Valley,4435,4922,7977
East Kameng,45287,37361,73561
East Siang,96323,42306,208278
Kamle,4236,2529,7208
Kra Daadi,7173,3150,12308
Kurung Kumey,21671,19655,30190
Leparada,16361,10923,27149
Lohit,25063,19915,54128
Longding,15041,13823,37891
Lower Dibang Valley,31034,21630,54714
Lower Siang,34547,6630,98214
Lower Subansiri,41719,27415,80813
Namsai,60473,46412,90894
Papum Pare,206838,168675,409109
Shi Yomi,6006,5474,10267
Siang,11325,3681,21016
Tawang,22636,20560,56000
Tirap,30074,26908,56904
Upper Siang,29976,19286,46211
Upper Subansiri,55238,32162,90667
West Kameng,38267,29623,85830
West Siang,46578,25711,91063
