district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,1.78,1,66.98,16,495.34,97,2635.28,998
Changlang,309.83,44,849.86,275,3418.47,703,13157.86,3879
Dibang Valley,70.10,6,103.64,13,822.32,104,2876.20,753
East Kameng,9.56,5,130.63,33,2114.79,435,9802.29,2375
East Siang,115.50,20,695.14,178,11615.12,1726,46941.60,9547
Kamle,14.50,1,22.04,12,407.42,127,1323.19,547
Kra Daadi,10.00,1,44.38,17,935.92,247,3242.32,1288
Kurung Kumey,2.47,2,62.34,10,292.34,38,1156.40,260
Leparada,1.50,1,29.36,11,2275.24,390,9128.29,2437
Lohit,80.74,20,373.82,100,4478.76,1074,15460.77,4953
Longding,28.73,5,132.39,32,397.87,86,1756.22,451
Lower Dibang Valley,173.93,39,460.79,178,2863.76,519,9578.29,2534
Lower Siang,94.75,13,355.36,65,2688.94,504,8302.94,1813
Lower Subansiri,54.69,12,377.57,122,6315.15,1095,23320.63,5146
Namsai,123.24,39,565.24,176,5587.96,768,17991.39,4518
Papum Pare,1244.55,131,4336.16,807,56411.02,4615,226245.30,33111
Shi Yomi,1.30,1,19.82,5,118.59,18,861.92,184
Siang,0.00,0,19.84,10,1028.67,246,3779.25,1118
Tawang,74.51,10,217.68,60,4381.70,431,13013.20,2796
Tirap,61.71,7,185.05,50,2030.65,574,8832.81,3125
Upper Siang,48.21,7,144.99,38,1263.01,305,5476.25,1684
Upper Subansiri,99.30,15,281.06,64,5934.53,1109,24039.11,5034
West Kameng,122.12,20,476.38,129,9114.15,1191,28092.36,5893
West Siang,128.90,8,348.25,66,7283.59,1044,31035.56,6942
