district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,3667.05,0.00,0.00,31.05,,11809.75,0.00,0.00,31.05,3667.05,11809.75
Changlang,26163.01,658.37,0.00,33.52,24.31,78049.70,2708.54,0.00,33.21,26821.38,80758.24
Dibang Valley,3482.09,280.97,0.00,15.24,17.05,22849.92,1648.19,0.00,15.36,3763.06,24498.11
East Kameng,187.13,19918.67,0.00,109.55,75.59,170.81,26352.42,0.00,75.80,20105.80,26523.23
East Siang,10801.01,56696.74,0.00,29.40,44.91,36739.92,126234.11,0.00,41.42,67497.75,162974.03
Kamle,2010.04,0.00,0.00,68.18,,2948.18,0.00,0.00,68.18,2010.04,2948.18
Kra Daadi,4659.18,0.00,0.00,70.18,,6638.90,0.00,0.00,70.18,4659.18,6638.90
Kurung Kumey,5231.26,2056.68,0.00,72.20,69.28,7245.04,2968.69,0.00,71.35,7287.94,10213.73
Leparada,10331.45,1415.33,0.00,32.77,86.53,31530.75,1635.70,0.00,35.42,11746.78,33166.45
Lohit,4455.90,19238.66,0.00,50.31,44.89,8856.86,42854.14,0.00,45.82,23694.56,51711.00
Longding,13312.94,0.00,0.00,77.02,,17284.37,0.00,0.00,77.02,13312.94,17284.37
Lower Dibang Valley,2394.25,20987.37,0.00,21.80,35.25,10981.76,59532.79,0.00,33.16,23381.62,70514.55
Lower Siang,14597.87,0.00,0.00,62.42,,23387.31,0.00,0.00,62.42,14597.87,23387.31
Lower Subansiri,8297.39,31797.38,0.00,54.44,41.92,15242.11,75844.09,0.00,44.02,40094.77,91086.20
Namsai,15601.92,13564.70,0.00,42.02,40.77,37132.44,33271.32,0.00,41.43,29166.62,70403.76
Papum Pare,57853.51,412187.19,0.00,51.93,34.12,111397.83,1208028.15,0.00,35.62,470040.70,1319425.98
Shi Yomi,1096.96,608.75,0.00,12.15,30.89,9031.37,1970.93,0.00,15.50,1705.71,11002.30
Siang,4267.65,0.00,0.00,29.03,,14701.54,0.00,0.00,29.03,4267.65,14701.54
Tawang,6554.16,16514.38,0.00,17.44,12.76,37584.19,129456.97,0.00,13.81,23068.54,167041.16
Tirap,18183.17,1305.28,0.00,51.69,52.60,35180.25,2481.72,0.00,51.75,19488.45,37661.97
Upper Siang,7931.53,614.32,0.00,20.29,29.81,39081.65,2060.76,0.00,20.77,8545.85,41142.41
Upper Subansiri,7278.68,23855.88,0.00,42.68,68.62,17054.42,34765.96,0.00,60.08,31134.56,51820.38
West Kameng,48356.32,2049.24,0.00,37.93,476.90,127500.46,429.70,0.00,39.40,50405.56,127930.16
West Siang,2484.04,35298.08,0.00,27.03,45.21,9191.22,78076.40,0.00,43.29,37782.12,87267.62
