district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,7.60,2,4.00,1,0.00,0,0.00,0,0.00,0,11.60,3,0.00,0
Changlang,385.41,105,1380.46,186,0.00,0,31.93,10,10.64,1,1808.44,302,0.00,0
Dibang Valley,0.00,0,18.03,3,0.00,0,4.00,1,0.00,0,22.03,4,0.00,0
East Kameng,49.81,9,568.45,48,0.00,0,45.19,27,0.00,0,663.45,84,0.00,0
East Siang,74.24,10,930.12,100,0.00,0,234.26,45,1.99,3,1240.61,158,0.00,0
Kamle,12.14,1,66.88,14,0.00,0,0.00,0,0.00,0,79.02,15,0.00,0
Kra Daadi,8.02,1,409.79,165,0.00,0,19.43,1,0.00,0,437.24,167,0.00,0
Kurung Kumey,2.00,1,718.37,213,0.00,0,0.00,0,0.00,0,720.37,214,0.00,0
Leparada,44.50,4,35.84,4,0.00,0,27.96,2,0.00,0,108.30,10,0.00,0
Lohit,232.34,40,231.02,31,0.00,0,43.40,17,24.00,1,530.76,89,0.00,0
Longding,25.31,4,2693.96,674,0.00,0,8.96,2,1.20,1,2729.43,681,0.00,0
Lower Dibang Valley,45.25,4,717.76,129,0.00,0,8.80,2,6.20,1,778.01,136,0.00,0
Lower Siang,85.05,6,432.98,50,0.00,0,19.34,2,0.00,0,537.37,58,0.00,0
Lower Subansiri,95.34,13,1444.86,265,0.00,0,409.13,39,0.00,0,1949.33,317,0.00,0
Namsai,4011.67,638,455.36,109,0.00,0,45.69,12,0.00,0,4512.72,759,0.00,0
Papum Pare,2291.28,97,17724.03,1591,6.70,1,2478.82,216,133.96,14,22635.99,1920,1.20,1
Shi Yomi,49.41,8,19.65,5,0.00,0,10.00,1,0.00,0,79.06,14,0.00,0
Siang,15.92,1,10.90,2,0.00,0,0.00,0,0.00,0,26.82,3,0.00,0
Tawang,4268.56,415,96.36,14,0.00,0,43.02,12,26.00,5,4433.94,446,0.00,0
Tirap,11.71,3,864.78,175,0.00,0,4.90,4,0.00,0,881.39,182,0.00,0
Upper Siang,30.35,4,160.53,17,0.00,0,0.00,0,0.00,0,190.88,21,0.00,0
Upper Subansiri,0.20,3,99.26,19,0.00,0,3.42,10,0.00,0,102.88,32,0.00,0
West Kameng,7098.12,1003,539.16,75,0.00,0,104.56,19,75.40,9,7826.24,1107,9.00,1
West Siang,357.41,38,84.43,12,0.00,0,87.71,12,16.76,2,546.31,64,0.00,0
