District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Baksa,57,974,145.26,590,"2,272.98","1,739",170.83,"2,411","8,741.81","5,948","10,004.24",959,451.74,4.52
Barpeta,122,"1,770",249.59,"1,370","3,850.17","3,223",297.92,"4,700","12,688.46","10,428","15,112.82","1,436","1,015.07",6.72
Biswanath,57,934,80.98,683,"2,165.75","1,773",275.16,"3,573","9,250.54","8,219","11,764.72","1,698",823.59,7.00
Bongaigaon,59,"1,223",238.85,696,"2,116.26","1,834",291.50,"2,075","6,690.72","4,841","7,656.20",195,88.33,1.15
Cachar,163,"1,068",329.59,934,"2,340.88","2,598",494.76,"3,149","6,908.63","6,387","7,606.72","1,101",578.37,7.60
Charaideo,35,314,44.05,437,"1,469.71",494,68.32,"1,547","5,487.48","3,984","5,712.17",257,136.13,2.38
Chirang,35,"1,021",74.93,394,"1,768.79","1,234",86.46,"1,582","5,606.58","3,880","5,925.80",625,503.08,8.49
Darrang,69,"1,027",160.12,668,"2,236.93","1,940",211.79,"2,547","8,179.13","6,792","9,690.59","1,108",877.68,9.06
Dhemaji,45,"1,974",175.63,831,"2,749.84","3,288",294.95,"3,999","10,583.87","7,782","12,014.09",909,403.23,3.36
Dhubri,87,"3,928",860.28,780,"3,050.85","5,502","1,113.50","3,912","11,055.02","9,410","11,372.46","1,508",666.08,5.86
Dibrugarh,182,"1,927",426.92,897,"2,493.01","4,483",619.56,"4,819","11,027.91","8,998","13,565.23",479,257.26,1.90
Dima Hasao,30,198,7.83,86,223.19,344,10.27,550,"1,409.05","1,075","1,542.62",95,41.41,2.68
Goalpara,69,835,132.58,632,"2,423.82","2,296",256.85,"3,065","10,896.61","7,329","9,973.42","1,179",632.07,6.34
Golaghat,120,"1,858",342.24,"1,214","3,749.05","4,262",613.62,"5,041","14,411.77","10,036","18,057.36",431,219.87,1.22
Hailakandi,44,989,506.76,369,"1,136.56","1,410",580.20,"1,136","2,871.89","3,183","3,559.98",638,323.74,9.09
Hojai,57,"1,030",110.37,473,"1,150.97","1,606",161.25,"2,548","4,347.02","4,138","5,240.12",352,231.57,4.42
Jorhat,132,"1,106",290.34,871,"3,051.19","2,336",453.82,"3,455","11,142.92","7,264","14,398.07",376,251.91,1.75
Kamrup Metro,172,"1,281",175.22,"1,581","4,412.45","4,761",544.50,"6,803","18,012.49","12,836","19,788.22","1,727","1,238.74",6.26
Karbi Anglong,64,219,11.63,899,"3,981.83",577,19.58,"3,473","11,964.10","6,308","11,476.14",441,114.25,1.00
Karimganj,88,691,200.50,405,"1,273.89","1,230",241.84,"1,595","4,070.84","4,549","4,806.38","1,297",631.01,13.13
Kokrajhar,51,"1,969",262.18,529,"1,873.30","2,511",325.19,"1,809","5,793.06","4,515","5,639.14",476,414.06,7.34
Lakhimpur,91,"1,986",331.14,"1,135","3,000.46","4,017",530.32,"4,593","10,722.06","9,601","13,394.83",940,485.98,3.63
Majuli,16,90,4.66,171,427.22,303,12.25,924,"2,250.28","2,326","3,614.84",193,94.06,2.60
Morigaon,67,805,50.36,890,"1,835.23","1,690",128.42,"3,093","6,984.77","6,993","7,992.74","2,308","1,192.78",14.92
Nagaon,152,"4,065",267.00,"1,929","5,453.93","7,034",465.16,"7,156","18,283.81","14,156","21,938.05","1,183",805.12,3.67
Nalbari,84,755,91.89,993,"2,815.15","2,593",166.37,"3,488","10,071.84","9,212","15,710.79","1,010",542.52,3.45
Sivasagar,97,928,198.71,507,"1,634.83","1,961",268.81,"1,982","5,853.29","5,764","8,139.90",345,262.88,3.23
Sonitpur,125,"2,543",418.93,"1,092","3,398.18","3,942",568.33,"3,907","11,835.44","9,010","13,682.54","1,767",843.97,6.17
South Salmara,12,408,39.79,103,504.58,746,44.99,264,"1,183.08",873,"1,147.20",186,76.08,6.63
Tinsukia,148,"1,277",242.98,744,"2,404.83","3,082",338.52,"3,244","9,434.39","7,170","11,166.04",548,264.24,2.37
Udalguri,49,"1,477",191.23,551,"1,645.92","1,783",203.88,"1,771","5,410.69","5,005","7,423.78",912,569.94,7.68
West Karbi Anglong,22,324,24.27,326,"1,086.58",402,25.58,"1,155","3,187.18","2,692","3,401.49",632,174.49,5.13
