district,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
Baksa,57,"49,272","13,615.61","10,656","16,271.00",119.50,"25,756","8,491.78","3,489","4,523.02",53.26,"1,905","1,681.00","4,951","11,820.60",703.19,"4,185","4,530.66","6,439","4,530.11",99.99,"55,362","19,827.27","22,046","32,621.71",164.53
Barpeta,122,"83,903","1,18,203.25","30,732","35,101.37",29.70,"66,190","76,636.72","9,592","11,443.90",14.93,"8,874","36,124.61","8,359","50,554.08",139.94,"3,942","17,153.05","16,004","11,985.86",69.88,"96,719","1,71,480.91","55,095","97,641.31",56.94
Biswanath,57,"11,942","24,758.81","11,131","18,414.41",76.51,"8,085","15,370.00","4,689","4,889.72",32.58,"3,718","9,839.70","5,096","15,726.56",167.52,"2,557","6,915.74","16,156","11,544.63",172.91,"18,217","41,514.25","32,383","45,685.60",113.83
Bongaigaon,59,"11,341","10,145.46","11,710","18,135.01",178.75,"8,265","5,072.73","3,107","5,474.99",107.93,"7,254","31,393.54","3,854","35,039.20",111.61,"1,496","5,550.00","8,920","7,469.94",134.59,"20,091","47,089.00","24,484","60,644.15",128.79
Cachar,163,"39,581","44,268.64","21,889","27,509.12",62.14,"15,145","15,620.55","9,980","11,582.80",74.15,"10,389","65,480.00","9,839","80,929.87",123.59,"3,429","15,055.72","29,423","21,194.42",140.77,"53,399","1,24,804.36","61,151","1,29,633.41",103.87
Charaideo,35,"28,823","34,359.00","5,194","10,115.24",29.44,"19,276","18,937.00","1,524","2,428.45",12.82,"2,020","7,963.00","1,973","7,315.94",91.87,"2,615","9,827.00","1,400","1,623.30",16.52,"33,458","52,149.00","8,567","19,054.48",36.54
Chirang,35,"11,553","9,519.76","8,386","12,065.65",126.74,"5,694","5,405.78","3,652","3,657.13",67.65,"1,968","6,782.41","2,240","8,892.87",131.12,"1,731","3,948.27",486,"1,051.53",26.63,"15,252","20,250.44","11,112","22,010.05",108.69
Darrang,69,"20,652","16,448.02","18,235","21,647.28",131.61,"13,340","8,934.46","5,865","5,854.17",65.52,"7,127","20,559.87","4,726","28,385.39",138.06,"1,232","4,112.88","7,433","6,025.60",146.51,"29,011","41,120.77","30,394","56,058.27",136.33
Dhemaji,45,"16,657","17,962.00","15,146","17,375.03",96.73,"7,477","6,517.00","6,124","5,711.77",87.64,"4,887","10,128.00","6,437","16,003.18",158.01,"3,235","6,921.00","3,989","4,278.22",61.82,"24,779","35,011.00","25,572","37,656.43",107.56
Dhubri,87,"54,127","64,477.22","13,237","22,979.97",35.64,"16,296","14,162.91","4,696","6,775.21",47.84,"3,968","28,587.15","4,705","24,256.20",84.85,"4,036","10,777.73","12,760","9,062.97",84.09,"62,131","1,03,842.10","30,702","56,299.14",54.22
