District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other MSME No.,Other MSME Amt,MSME Total O/S No.,MSME Total O/S Amt
Baksa,57,"15,415","14,982.29",126,"2,849.52",1,760.64,"1,724","1,448.88","17,266","20,041.33"
Barpeta,122,"28,347","56,646.29",714,"15,105.67",64,"1,782.53","1,710","1,008.83","30,835","74,543.32"
Biswanath,57,"12,182","12,736.22",226,"2,618.60",7,58.76,"1,379",781.72,"13,794","16,195.30"
Bongaigaon,59,"12,353","27,860.87",711,"15,718.51",48,"3,407.18","1,361",755.87,"14,473","47,742.43"
Cachar,163,"30,618","76,811.45","1,344","34,277.97",88,"9,497.56","1,544","5,819.89","33,594","1,26,406.87"
Charaideo,35,"5,409","9,696.75",154,"1,957.25",3,148.27,55,49.99,"5,621","11,852.26"
Chirang,35,"8,524","9,679.96",128,"2,531.55",11,"1,920.11",778,510.70,"9,441","14,642.32"
Darrang,69,"15,463","27,430.44",413,"10,148.75",17,"1,100.77",959,662.60,"16,852","39,342.56"
Dhemaji,45,"17,334","19,536.91",394,"6,110.42",6,106.35,"1,582","1,421.18","19,316","27,174.86"
Dhubri,87,"17,547","26,243.72",507,"11,175.67",8,826.07,242,244.89,"18,304","38,490.35"
Dibrugarh,182,"35,872","1,02,192.53","2,243","70,754.25",230,"10,108.73","1,481",881.52,"39,826","1,83,937.03"
Dima Hasao,30,"2,675","4,804.30",85,606.20,0,0,216,342.53,"2,976","5,753.03"
Goalpara,69,"17,829","21,884.16",367,"10,009.71",3,952.52,468,380.36,"18,667","33,226.75"
Golaghat,120,"19,140","36,476.50",996,"18,801.62",24,"1,110.16","2,542","1,806.17","22,702","58,194.45"
Hailakandi,44,"8,205","15,019.39",227,"6,070.03",7,328.64,371,323.19,"8,810","21,741.25"
Hojai,57,"13,696","19,372.38",413,"6,797.32",1,19.24,109,186.03,"14,219","26,374.97"
Jorhat,132,"25,708","73,169.13","1,396","38,838.39",177,"21,168.41","2,395","2,015.00","29,676","1,35,190.93"
Kamrup Metro,172,"36,624","81,026.57","1,392","29,168.54",92,"7,733.84","3,559","2,652.35","41,667","1,20,581.30"
Karbi Anglong,64,"11,408","12,874.14",123,"2,666.51",5,358.32,196,175.91,"11,732","16,074.88"
Karimganj,88,"12,012","25,298.10",479,"6,890.29",27,"1,615.97","1,621","1,478.61","14,139","35,282.97"
Kokrajhar,51,"8,578","13,469.29",177,"6,662.16",1,2.00,120,127.43,"8,876","20,260.88"
Lakhimpur,91,"28,302","39,437.96","1,099","18,751.62",47,"1,246.60","7,049","4,944.40","36,497","64,380.58"
Majuli,16,"2,588","4,841.54",36,466.49,1,2.42,611,492.26,"3,236","5,802.71"
Morigaon,67,"12,901","22,372.24",249,"2,862.78",12,"1,248.32","1,793","1,284.99","14,955","27,768.33"
Nagaon,152,"24,333","55,813.55",985,"27,011.97",83,"6,392.51","1,066","3,268.50","26,467","92,486.53"
Nalbari,84,"16,790","26,850.44",364,"9,106.45",12,90.96,"1,389","1,362.14","18,555","37,409.99"
Sivasagar,97,"20,621","43,949.46",948,"26,893.68",32,"5,392.01","1,320","1,306.58","22,921","77,541.73"
Sonitpur,125,"24,859","60,450.98","1,155","30,972.57",169,"7,941.32","1,068","1,037.41","27,251","1,00,402.28"
South Salmara,12,"1,564","3,289.59",25,391.41,1,19.41,0,0,"1,590","3,700.41"
Tinsukia,148,"26,032","75,716.17","1,411","43,808.13",61,"8,037.37","1,072","1,005.39","28,576","1,28,567.06"
Udalguri,49,"12,193","14,577.45",72,"1,298.26",1,75.18,"1,772","1,609.14","14,038","17,560.03"
West Karbi Anglong,22,"1,706","1,108.18",3,19.40,0,0,0,0,"1,709","1,127.58"
